epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.7006742641269272,0.551645272332061,0.7826666666666666,0.13297872340425532,0.6515108458842473,0.07059166594094969,0.0001368524244499459,0.16666666666666666,2,10,1.0,keep,none,0,0
1,0.6986377717588107,0.552480743388779,0.7926666666666666,0.13850415512465375,0.6619575366378435,0.07591412055832834,0.00015821328787609962,0.16666666666666666,2,10,1.0,keep,none,0,0
2,0.6965770714801649,0.5535514671859659,0.7893333333333333,0.14130434782608695,0.6710645610901366,0.06972256429025685,0.00013336952073537525,0.16666666666666666,2,10,1.0,keep,none,0,0
3,0.6944951452329374,0.5547818228333966,0.7866666666666666,0.1443850267379679,0.6797250301086618,0.07225904668924553,0.00014333796658912867,0.16666666666666666,2,10,1.0,keep,none,0,0
4,0.6923999348950574,0.556179368689606,0.688,0.12359550561797752,0.6871134927400913,0.07668148534794607,0.00016100162542331557,0.16666666666666666,2,10,1.0,keep,none,0,0
5,0.6903005883922572,0.5577770920940822,0.6933333333333334,0.12547528517110265,0.6939742080407042,0.0754367373608766,0.0001561645797449879,0.16666666666666666,2,10,1.0,keep,none,0,0
6,0.6882120662275404,0.559569863313905,0.742,0.13808463251670378,0.699373469194441,0.06876562451870956,0.00012970742946260918,0.16666666666666666,2,10,1.0,keep,none,0,0
7,0.6861389763975271,0.5615558879230237,0.7306666666666667,0.13675213675213677,0.7040284712918984,0.07490599400461947,0.00015409402136535994,0.16666666666666666,2,10,1.0,keep,none,0,0
8,0.6840895058368275,0.5636989478755128,0.736,0.1391304347826087,0.7083722377840026,0.07146911236509382,0.00013989663156134186,0.16666666666666666,2,10,1.0,keep,none,0,0
9,0.6820663234480995,0.5660233565085968,0.73,0.13646055437100213,0.7116740415973152,0.07369522141458507,0.00014916567564148857,0.16666666666666666,2,10,1.0,keep,none,0,0
10,0.721302602176584,0.568547142612998,0.6393333333333333,0.12032520325203253,0.7149081854964207,0.058251045888614274,6.135451585838633e-05,0.1111111111111111,3,15,1.0,add_layer,committed,1,0
11,0.718532238469434,0.7730404915849235,0.36533333333333334,0.06666666666666667,0.41941027618776977,0.055656290704017494,5.652155071983491e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
12,0.7159154740288624,0.763332078840418,0.394,0.06960081883316274,0.43992476217540155,0.055122258281542026,5.527271947223022e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
13,0.7134656379863379,0.7537611504292833,0.426,0.07319698600645856,0.4645800349125157,0.05026197132198063,4.5838114424705866e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
