epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.700689003687194,0.5522773288969354,0.7813333333333333,0.13227513227513227,0.6509966305362724,0.06972215210800568,0.00013354290234533176,0.16666666666666666,2,10,1.0,keep,none,0,0
1,0.6986672165632702,0.5534468271313042,0.7933333333333333,0.1388888888888889,0.6612944694786127,0.07086230615409328,0.00013801355601114629,0.16666666666666666,2,10,1.0,keep,none,0,0
2,0.6966176033677982,0.5546150794105902,0.7826666666666666,0.13756613756613756,0.6706315376392104,0.07120783645761543,0.00013919486562605866,0.16666666666666666,2,10,1.0,keep,none,0,0
3,0.6945492404381761,0.5558979701727523,0.786,0.144,0.6791296228636381,0.06789082296397651,0.00012658501768076383,0.16666666666666666,2,10,1.0,keep,none,0,0
4,0.69246983567847,0.5573205756323683,0.684,0.12222222222222222,0.6866534053234821,0.07214533152566877,0.00014275162855185465,0.16666666666666666,2,10,1.0,keep,none,0,0
5,0.690384730270761,0.5589115998066793,0.692,0.125,0.693392332778522,0.07349697921960552,0.0001474574144040691,0.16666666666666666,2,10,1.0,keep,none,0,0
6,0.6883072858106002,0.5606941706022677,0.7406666666666667,0.13747228381374724,0.6995087890228555,0.06633347018554196,0.00012103437784781286,0.16666666666666666,2,10,1.0,keep,none,0,0
7,0.6862445778328914,0.5626553818699552,0.7273333333333334,0.13530655391120508,0.7038660874978011,0.07241505422003502,0.00014352550019669258,0.16666666666666666,2,10,1.0,keep,none,0,0
8,0.6842034255892285,0.5648108641523479,0.736,0.1391304347826087,0.7080745341614907,0.07289628577613226,0.0001456829397142925,0.16666666666666666,2,10,1.0,keep,none,0,0
9,0.6821905301486909,0.5671096985752889,0.7333333333333333,0.13793103448275862,0.711606381683108,0.07440833149654295,0.00015170831819010045,0.16666666666666666,2,10,1.0,keep,none,0,0
10,0.7214188134410624,0.5695750820534431,0.6406666666666667,0.12071778140293637,0.7151517611875668,0.06061294490254454,6.641501028574573e-05,0.1111111111111111,3,15,1.0,add_layer,committed,1,0
11,0.7186609277306597,0.7740055876983207,0.364,0.06653620352250489,0.41912610454809945,0.05888199879888244,6.319260216812922e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
12,0.7160535522531896,0.7645932701347881,0.4126666666666667,0.06969376979936642,0.44000595407245024,0.054348477410297726,5.3712516355958625e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
13,0.7135901903007049,0.7551817904882764,0.42,0.07249466950959488,0.46403875559885793,0.054021340559269125,5.300126172905549e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
14,0.7112848344094083,0.7461433177127307,0.5606666666666666,0.07573632538569425,0.4911974451616395,0.05235472968422871,5.004551590486947e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
