epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.7007049518471463,0.552081272754376,0.78,0.13157894736842105,0.6513213981244672,0.07080854092914082,0.00013792868320096254,0.16666666666666666,2,10,1.0,keep,none,0,0
1,0.698683685935491,0.5530949878677297,0.788,0.1358695652173913,0.6614297893070271,0.07045017664458457,0.00013625956086962173,0.16666666666666666,2,10,1.0,keep,none,0,0
2,0.6966304274837307,0.5542695940513296,0.7646666666666667,0.13267813267813267,0.6711728169528681,0.0768428323088331,0.0001621025348239657,0.16666666666666666,2,10,1.0,keep,none,0,0
3,0.694562120747631,0.5556034162923241,0.7833333333333333,0.1424802110817942,0.6791025588979555,0.06855704398246441,0.00012892095269441097,0.16666666666666666,2,10,1.0,keep,none,0,0
4,0.6924790073090461,0.5570735377558989,0.6766666666666666,0.11978221415607986,0.6866669373063237,0.0737306142175459,0.0001490428263165304,0.16666666666666666,2,10,1.0,keep,none,0,0
5,0.69039656317333,0.5587214550043926,0.7113333333333334,0.12877263581488935,0.6932434809672662,0.07324629758641385,0.00014719362287885515,0.16666666666666666,2,10,1.0,keep,none,0,0
6,0.6883216667992194,0.5605605135212884,0.74,0.13716814159292035,0.6996441088512699,0.06880404223143047,0.00012948735305152884,0.16666666666666666,2,10,1.0,keep,none,0,0
7,0.6862643851997967,0.5625291000247361,0.734,0.13822894168466524,0.7037037037037036,0.06959942610871112,0.00013236758551526164,0.16666666666666666,2,10,1.0,keep,none,0,0
8,0.6842297475537896,0.5646456861885382,0.7333333333333333,0.13793103448275862,0.7081557260585394,0.07143052549596227,0.0001395880902472068,0.16666666666666666,2,10,1.0,keep,none,0,0
9,0.682223046818341,0.5668594593323995,0.73,0.13646055437100213,0.7116875735801566,0.0710182494633957,0.0001382441637579205,0.16666666666666666,2,10,1.0,keep,none,0,0
10,0.7216490111255647,0.5691634192837769,0.64,0.12052117263843648,0.7147999296336892,0.06226147163120076,6.971261989000068e-05,0.1111111111111111,3,15,1.0,add_layer,committed,1,0
11,0.7188482740626038,0.7745806179071072,0.36733333333333335,0.06686332350049164,0.41863895316580735,0.057949070792241354,6.097635030242973e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
12,0.7161927405290152,0.7647482012867043,0.39866666666666667,0.07010309278350516,0.43858509587409844,0.055780479613431716,5.660771933740441e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
13,0.7137022833546356,0.7550934732443638,0.42733333333333334,0.07335490830636461,0.46368692404498024,0.053576762196956874,5.218725902568262e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
14,0.7113774281183259,0.7457628069213976,0.46066666666666667,0.07542857142857143,0.4900472266201167,0.04927217733139683,4.435573049072807e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
15,0.7092137137229867,0.7367017601407159,0.644,0.09183673469387756,0.5153790984993031,0.04612922457235222,3.8879441863421325e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
16,0.7071725232435304,0.7280949309080517,0.7,0.1,0.5365295876804829,0.049177591804702804,4.435594266452077e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
17,0.705237754673168,0.7201964313865892,0.678,0.1038961038961039,0.5551766600359952,0.04363367930557968,3.503966493376044e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
18,0.7033819143142015,0.7128182794689601,0.6446666666666667,0.10420168067226891,0.5708737601320722,0.045847121085058964,3.863662653697784e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
19,0.7015776647399686,0.706193166451026,0.668,0.11071428571428571,0.5859619210002842,0.04489027657277628,3.723066146787783e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
20,0.693900354033422,0.7001512927256202,0.6853333333333333,0.11278195488721804,0.6001434390181193,0.06455696362874043,5.751110968676995e-05,0.08333333333333333,4,20,1.0,add_layer,committed,2,0
21,0.689846529286944,0.7557038099413218,0.9106666666666666,0.12987012987012986,0.523390032341439,0.06436629482406288,5.7165683570632226e-05,0.08333333333333333,4,20,1.0,keep,none,2,0
22,0.6860116088671999,0.7447396998610557,0.906,0.13496932515337423,0.5629846141355093,0.058631452459328,4.748213480254284e-05,0.08333333333333333,4,20,1.0,keep,none,2,0
23,0.6824890560234166,0.7337781853892693,0.37733333333333335,0.08070866141732283,0.5990338164251208,0.05494494503326228,4.1631642663825526e-05,0.08333333333333333,4,20,1.0,keep,none,2,0
24,0.6792939957451503,0.7233058965464436,0.3933333333333333,0.08634538152610442,0.6296837575609955,0.055386898767351686,4.2406833725293034e-05,0.08333333333333333,4,20,1.0,keep,none,2,0
25,0.6891645717519019,0.7132616812102072,0.44466666666666665,0.0916030534351145,0.6561387840160219,0.0698951992620583,5.3252820953200085e-05,0.06666666666666667,5,25,1.0,add_layer,committed,3,0
26,0.6847995822298524,0.6885465680506085,0.868,0.16806722689075632,0.59724759469005,0.0593352039445833,3.818625704672378e-05,0.06666666666666667,5,25,1.0,keep,none,3,0
27,0.6808012109714644,0.6853897565469985,0.8626666666666667,0.18253968253968253,0.6601848468856142,0.05617790604377073,3.420473871046434e-05,0.06666666666666667,5,25,1.0,keep,none,3,0
28,0.6771853989754213,0.6822923511823802,0.7546666666666667,0.1559633027522936,0.7148405255822136,0.049644915823607125,2.666687704495173e-05,0.06666666666666667,5,25,1.0,keep,none,3,0
29,0.67396568936563,0.6792216836203758,0.8366666666666667,0.21221864951768488,0.7593607491305701,0.04842628331129382,2.542095586891139e-05,0.06666666666666667,5,25,1.0,keep,none,3,0
30,0.6973518920130514,0.6762146841355838,0.8786666666666667,0.2540983606557377,0.7929335985601971,0.0689707813975231,4.3909538877873614e-05,0.05555555555555555,6,30,1.0,add_layer,committed,4,0
31,0.6920073717306802,0.6744427320486337,0.116,0.07142857142857142,0.5188162221410303,0.07409302899094632,5.0788870163849215e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
32,0.6870826481996379,0.6592826396610592,0.168,0.07555555555555556,0.5621320992164982,0.06605486693238304,4.033054423037569e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
33,0.6826082760420753,0.6448343800891985,0.5793333333333334,0.0920863309352518,0.6026468558437867,0.0645012852046139,3.848186009881638e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
34,0.678539102848278,0.6316754175374193,0.6006666666666667,0.09653092006033183,0.6323630901636016,0.06158743034337656,3.512007059926791e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
35,0.6747718785257788,0.6202473039446752,0.694,0.11218568665377177,0.6637166944072316,0.06381129225004802,3.769509467375132e-05,0.05555555555555555,6,30,1.0,stop_growth,none,4,0
36,0.6711899718209429,0.6102339132316308,0.7506666666666667,0.13023255813953488,0.6965858807291031,0.06295286614267152,3.669073727956771e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
37,0.6677163522042877,0.6017546701467035,0.8093333333333333,0.1588235294117647,0.7225672877846792,0.057645833232910816,3.076523122389656e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
38,0.6642945333623334,0.5946008190960781,0.8453333333333334,0.1888111888111888,0.7435824571374444,0.06147156697410566,3.497468157705388e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
39,0.6608633631041124,0.5892830296804623,0.8973333333333333,0.24509803921568626,0.7634609399315282,0.05910652332899359,3.234530456880126e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
