episode,return,return_ma100
1,-5.272299637369723,-5.272299637369723
2,-3.889558506477105,-4.580929071923414
3,-3.177235184254674,-4.113031109367167
4,-2.5549191103334046,-3.7235031096087265
5,-2.796070773450302,-3.538016642377042
6,-2.7928887929349617,-3.413828667470028
7,-1.9348390311510424,-3.202544433710173
8,-2.833080736787779,-3.156361471594874
9,-1.210120514126764,-2.9401124763206394
10,-5.341771936084645,-3.1802784222970404
11,-2.912862571140108,-3.1559678903736827
12,-1.9234869295451174,-3.0532611436379686
13,-6.055833285397327,-3.2842282314656117
14,-2.1410165461437427,-3.2025702539426213
15,-4.806401490282194,-3.3094923363652593
