episode,return,return_ma100
1,-0.2674626921742114,-0.2674626921742114
2,-0.31008868141353035,-0.2887756867938709
3,-0.25611059056828617,-0.2778873213853426
4,-0.27124672604285316,-0.2762271725497203
5,-0.26367865830556964,-0.27371746970089017
6,-2.9469512039652517,-0.719256425411617
7,-1.4057783216504882,-0.8173309820171701
8,-2.9819149046423292,-1.087903972345315
9,-0.29555459929226563,-0.9998651531171983
10,-2.2485425228310034,-1.124732890088579
11,-0.2842024976863405,-1.04832103623383
12,-6.702044921064111,-1.5194646933030203
13,-1.2674626921742118,-1.5000799239854195
14,-0.31008868141353035,-1.4150805495159988
15,-0.27124672604285316,-1.3388249612844556
