epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.7109758348272038,0.6655207663074861,0.6111111111111112,0.46153846153846156,0.7160493827160495,0.12664050888582828,0.0006217514113801899,0.16666666666666666,2,6,1.0,keep,none,0,0
1,0.7062992866575077,0.6619407509228926,0.6666666666666666,0.5714285714285714,0.7407407407407407,0.12275828758712942,0.0005854760030695282,0.16666666666666666,2,6,1.0,keep,none,0,0
2,0.7018156415429558,0.6587745746953222,0.6666666666666666,0.5714285714285714,0.7530864197530864,0.11881270751838534,0.0005496499694319424,0.16666666666666666,2,6,1.0,keep,none,0,0
3,0.6975386125384622,0.6560041236598527,0.7777777777777778,0.75,0.7654320987654321,0.114925898374377,0.0005154167681247307,0.16666666666666666,2,6,1.0,keep,none,0,0
4,0.6934639336385088,0.6535850595093798,0.7777777777777778,0.75,0.8024691358024691,0.11121902805149178,0.000483762278596873,0.16666666666666666,2,6,1.0,keep,none,0,0
5,0.6895675903214924,0.6514488812065141,0.7777777777777778,0.75,0.8271604938271605,0.10777285838917856,0.0004552040598616639,0.16666666666666666,2,6,1.0,propose_prune_layer,in_progress,0,0
6,0.683548131247321,0.649526946952947,0.7777777777777778,0.75,0.8395061728395061,0.1303821585075484,0.000675596861796275,0.16666666666666666,2,6,1.0,keep,in_progress,0,0
7,0.721840274302395,0.638390344145231,0.7777777777777778,0.7142857142857143,0.8518518518518519,0.17392971289999046,0.0011793250269577914,0.16666666666666666,2,6,1.0,keep,in_progress,0,0
8,0.7533278067823351,0.6813634515104504,0.5,0.0,0.6790123456790124,0.13159089658702047,0.0006744486406490835,0.16666666666666666,2,6,1.0,keep,in_progress,0,0
9,0.7571679456141739,0.7387619531826781,0.2777777777777778,0.13333333333333333,0.18518518518518517,0.08179473859239275,0.0002786995110372453,0.16666666666666666,2,6,1.0,keep,in_progress,0,0
10,0.6895675903214924,0.7338151120738687,0.4444444444444444,0.375,0.2469135802469136,0.10777285838917856,0.0004552040598616639,0.16666666666666666,2,6,1.0,keep,rolled_back,0,1
11,0.6856042962249776,0.6492004018340297,0.7777777777777778,0.75,0.8395061728395061,0.10498162998443547,0.0004322960574213755,0.16666666666666666,2,6,1.0,keep,none,0,1
12,0.6817274558414171,0.6469876001114184,0.7777777777777778,0.75,0.8518518518518519,0.10241984917541892,0.0004124049583266775,0.16666666666666666,2,6,1.0,keep,none,0,1
13,0.6779485733382635,0.6449520747853197,0.8333333333333334,0.8235294117647058,0.8888888888888888,0.0997530323759821,0.00039217113272115473,0.16666666666666666,2,6,1.0,keep,none,0,1
14,0.6742801833628109,0.6430974077018019,0.8333333333333334,0.8235294117647058,0.9135802469135803,0.09699810949980354,0.00037174742557409324,0.16666666666666666,2,6,1.0,keep,none,0,1
