episode,return,return_ma100
1,-1.3029606244287202,-1.3029606244287202
2,-0.3986254038321859,-0.850793014130453
3,-0.46092720714992264,-0.7208377451369429
4,0.6728283776018185,-0.37242121445225257
5,-0.458625403832186,-0.38966205232823925
6,-0.07020399333851665,-0.33641904249661886
7,-1.3876173524512927,-0.48659022963300075
8,-0.7016145968315171,-0.5134682755328153
9,-0.07488731735813015,-0.46473705795785025
10,-0.458625403832186,-0.46412589254528386
11,-0.07020399333851667,-0.4283148107992141
12,-0.07020399333851667,-0.3984722426774893
13,-2.771361454865623,-0.5810021820765765
14,-1.8651546425304957,-0.6727273578232851
15,-0.4072539347474988,-0.6550291296182327
16,-0.3986254038321859,-0.6390038967566047
17,-0.458625403832186,-0.6283933971728154
18,-1.30296062442872,-0.6658693542425879
19,-1.30296062442872,-0.6994004737260685
20,-0.07020399333851667,-0.6679406497066909
