epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.7109758348272038,0.6655207663074861,0.6111111111111112,0.46153846153846156,0.7160493827160495,0.12664050888582828,0.0006217514113801899,0.16666666666666666,2,6,1.0,keep,none,0,0
1,0.7062992866575077,0.6619407509228926,0.6666666666666666,0.5714285714285714,0.7407407407407407,0.12275828758712942,0.0005854760030695282,0.16666666666666666,2,6,1.0,keep,none,0,0
2,0.7018156415429558,0.6587745746953222,0.6666666666666666,0.5714285714285714,0.7530864197530864,0.11881270751838534,0.0005496499694319424,0.16666666666666666,2,6,1.0,keep,none,0,0
3,0.6975386125384622,0.6560041236598527,0.7777777777777778,0.75,0.7654320987654321,0.114925898374377,0.0005154167681247307,0.16666666666666666,2,6,1.0,keep,none,0,0
4,0.6934639336385088,0.6535850595093798,0.7777777777777778,0.75,0.8024691358024691,0.11121902805149178,0.000483762278596873,0.16666666666666666,2,6,1.0,keep,none,0,0
5,0.733565827052083,0.6514488812065141,0.7777777777777778,0.75,0.8271604938271605,0.1559295907196697,0.0006711566183943905,0.1111111111111111,3,9,1.0,add_layer,committed,1,0
6,0.7267921859351907,0.7127793009663688,0.2777777777777778,0.13333333333333333,0.28395061728395066,0.15025428814185773,0.0006246328083809339,0.1111111111111111,3,9,1.0,keep,none,1,0
7,0.7203748670644705,0.7077419942840073,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14391504892599008,0.0005741526581588147,0.1111111111111111,3,9,1.0,keep,none,1,0
8,0.7143750701358634,0.7031473844315023,0.3333333333333333,0.3333333333333333,0.4320987654320988,0.13718537251601845,0.0005224463048894806,0.1111111111111111,3,9,1.0,keep,none,1,0
9,0.7088291028337412,0.6989787080075665,0.4444444444444444,0.5,0.45679012345679015,0.1304333079061548,0.00047257595339286404,0.1111111111111111,3,9,1.0,keep,none,1,0
10,0.7037303634529041,0.6951635296640972,0.4444444444444444,0.5,0.45679012345679015,0.1241163797065685,0.00042770359001066287,0.1111111111111111,3,9,1.0,propose_reduce_entanglement,in_progress,1,0
11,0.6990145795679078,0.6915645795091678,0.5,0.5714285714285714,0.4691358024691358,0.11871180363596982,0.0003905336489526001,0.1111111111111111,3,8,0.9045084971874737,keep,in_progress,1,0
12,0.6945705684327036,0.6880203151396787,0.5555555555555556,0.6363636363636364,0.5061728395061729,0.11455925129295275,0.00036245997751792954,0.1111111111111111,3,6,0.6545084971874737,keep,in_progress,1,0
13,0.6902822876334354,0.6844179877094637,0.5555555555555556,0.6363636363636364,0.5679012345679013,0.11173135748762276,0.0003431461012635126,0.1111111111111111,3,3,0.34549150281252633,keep,in_progress,1,0
14,0.6860634897630578,0.6807137504727654,0.5555555555555556,0.6363636363636364,0.5925925925925926,0.11008389981672345,0.0003311678556245277,0.1111111111111111,3,1,0.09549150281252633,keep,in_progress,1,0
