episode,return,return_ma100
1,-0.48584395289316407,-0.48584395289316407
2,-0.5977356046999514,-0.5417897787965578
3,-0.48584395289316407,-0.5231411701620932
4,-0.2103197969100281,-0.4449358268490769
5,-0.3508707416869131,-0.42612280981664413
6,-0.4258439528931641,-0.42607633366273084
7,0.2991408700871049,-0.32247387598418287
8,0.09426637182833975,-0.2703813450076175
9,-0.4348981076185833,-0.2886609852977248
10,-0.3934253334923536,-0.2991374201171877
11,-0.790776404556243,-0.3438318732480109
12,-0.4258439528931641,-0.3506662132184403
13,-0.8507764045562429,-0.38913622793673286
14,-0.035648144606693855,-0.36388707912744434
15,-0.48584395289316407,-0.37201753737849236
16,-0.2103197969100281,-0.3619114285992133
17,0.09426637182833986,-0.335077440338769
18,-0.25373306308690147,-0.33055830826922084
19,-0.8507764045562429,-0.3579382080738009
20,0.41968775793894786,-0.3190569097731635
