episode,return,return_ma100
1,-5.558205856706297,-5.558205856706297
2,-2.018679280700641,-3.788442568703469
3,-0.6925256922706728,-2.7564702765592037
4,-0.22834678980686018,-2.1244394048711177
5,-0.09972711097760151,-1.7194969460924145
6,-0.044240789067054344,-1.4402875865881877
7,-0.690902269163804,-1.3332325412418473
8,-0.017258258822460022,-1.1687357559394238
9,0.5655625214132369,-0.9760359473446838
10,-1.5780682501609564,-1.0362391776263111
11,0.04765082715978168,-0.9377037226457573
12,-0.6909022691638039,-0.9171369348555944
13,-1.0409626772203724,-0.9266619919605774
14,0.01709372317590218,-0.8592508694508288
15,-3.302488009125701,-1.0221333454291537
16,-0.6811528501999358,-1.0008220644773276
17,-2.0564068661481336,-1.0629152881050221
18,-1.029111365809435,-1.0610372924219338
19,-2.0473138337756156,-1.1129465840721275
20,-0.9828409489186785,-1.106441302314455
21,-0.690902269163804,-1.0866537293072813
22,-1.4782570832433626,-1.1044538817589213
23,-2.1046370747058836,-1.1479401075392242
24,-1.9827758859571822,-1.1827249316399724
25,0.01709372317590218,-1.1347321854473373
26,0.04765082715978168,-1.0892559157316788
27,-4.402615516469828,-1.2119729379812398
28,-0.690902269163804,-1.1933632712377602
29,-1.754456562620954,-1.212711315768215
30,-3.521605271716874,-1.2896744476331705
31,0.09040968212157097,-1.245155604737856
32,0.04765082715978168,-1.204755403741055
33,-0.6596235599269297,-1.1882362569588087
34,-1.633400434433654,-1.2013293210021865
35,0.047650827159781736,-1.1656441739118446
36,-2.147876863564181,-1.1929284152910762
37,-3.096957154911965,-1.2443886514970461
38,-0.1363259289023469,-1.2152291061656069
39,-2.23333349698473,-1.2413343469558407
40,0.04765082715978168,-1.20910971760295
41,-0.9828409489186785,-1.203590967147236
42,-3.031036340030226,-1.2471015712634976
43,-1.528909969930282,-1.253655254953423
44,0.04765082715978168,-1.2240801167235775
45,-0.5589530443142577,-1.2092995151144814
46,0.04765082715978168,-1.1819745076737365
47,0.04765082715978168,-1.155812266507066
48,-1.3231760000708195,-1.1592990109563108
49,-0.07496454426190235,-1.1371697361258126
50,0.04765082715978168,-1.113473324860101
51,-1.3642668601436367,-1.1183908451597782
52,0.01709372317590229,-1.096554603461015
53,-2.6659619862957453,-1.1261660635145003
54,-3.5287891769798936,-1.17065908413423
55,-1.3221181737810086,-1.1734128857641712
56,-0.6596235599269297,-1.1642380763742206
57,-1.0776320198968286,-1.1627186718746172
58,0.04765082715978168,-1.141850232236093
59,-0.6360978481775562,-1.1332781579300162
60,-1.7542665964841977,-1.1436279652392527
61,-0.9320512394944773,-1.1401594943254036
62,-1.9376190791068337,-1.1530217456928462
63,-0.530466668977264,-1.1431399190783131
64,-0.017258258822460022,-1.1255480181368154
65,-5.015746730010085,-1.185397229088712
66,-1.659481472790078,-1.1925803236902477
67,0.017093723175902277,-1.1745254871698574
68,0.01709372317590218,-1.1570016752530081
69,0.01709372317590218,-1.1399857999134586
70,-0.46043369119405564,-1.1302779126460385
71,-0.4442141093671439,-1.1206150421773218
72,-2.439192260105695,-1.138928614648549
73,-1.1745783503345137,-1.1394169671921925
74,-0.6181614602487903,-1.1323729738551196
75,-2.3542172899479463,-1.1486642314030238
76,-2.983515529375797,-1.1728070116395077
77,-7.299048154137144,-1.2523685849186978
78,-2.656878661126957,-1.2703751243572652
79,-2.04671906128437,-1.2802022627993805
80,-1.1940563844091603,-1.2791254393195026
81,-1.074900658828953,-1.2766041457331996
82,-0.4931072631943389,-1.267049305702238
83,-1.7796810369449274,-1.2732255916208246
84,-0.017258258822460133,-1.2582735995637013
85,-0.560396860458965,-1.2500632849859985
86,-0.23594904111561515,-1.2382712588944824
87,-0.6181614602487903,-1.2311435600594745
88,-2.1131143479324317,-1.2411659553762127
89,-1.878546927499967,-1.2483275393326592
90,-1.1060767770176179,-1.2467469753069365
91,-1.8603227361049846,-1.253489566084937
92,-2.6352692430954474,-1.2685089104002687
93,-1.0171887898660077,-1.2658065435128034
94,-2.916102513616706,-1.2833628836202917
95,-0.34929492378867555,-1.2735305893062747
96,-3.7562116227899147,-1.2993918500717294
97,-0.5874556033156669,-1.2920523011360998
98,-2.0095849083999324,-1.2993740624347103
99,-3.6000779653089596,-1.3226134957970765
100,-1.4844809869134863,-1.3242321707082407
101,-1.951760807752453,-1.2881677202187023
102,-0.645028768053852,-1.2744312150922346
103,-0.6405961406190545,-1.2739119195757183
104,-3.0739426667429126,-1.3023678783450787
105,0.01709372317590229,-1.3011996700035438
106,-2.2599448902839794,-1.3233567110157127
107,-1.053794743920352,-1.3269856357632783
108,-0.09234917284021833,-1.327736544903456
109,-0.3202462814848527,-1.3365946329324367
110,-0.047905998485799926,-1.3212930104156855
111,-1.0996462438258936,-1.332765981125542
112,0.017093723175902263,-1.325686021202145
113,-2.244421740939919,-1.3377206118393403
114,-0.14380925758448232,-1.3393296416469442
115,-0.6203709595973222,-1.3125084711516604
116,-0.9389196268238756,-1.3150861389178998
117,-0.01357456821402779,-1.2946578159385587
118,-1.7581686577264815,-1.3019483888577292
119,-4.019018636143742,-1.3216654368814107
120,0.017093723175902277,-1.3116660901604646
121,-2.091623443707546,-1.3256733019059022
122,-1.157057900115781,-1.3224613100746265
123,0.047650827159781736,-1.30093843105597
124,-0.7087733374799137,-1.288198405571197
125,-1.6899617845225974,-1.305268960648182
126,-2.4996401828990655,-1.3307418707487708
127,-0.7700333974358262,-1.2944160495584305
128,-2.4999898658975432,-1.312506925525768
129,0.3890642920713515,-1.2910717169788446
130,-0.4347520606759474,-1.2602031848684354
131,-7.785079280882457,-1.3389580744984757
132,-1.930252558389668,-1.35873710835397
133,-1.2397493461953597,-1.3645383662166546
134,-1.1254619768853322,-1.3594589816411715
135,-2.104078788006921,-1.3809762777928385
136,-0.49926619766588537,-1.3644901711338557
137,-1.5303334779999214,-1.3488239343647348
138,-1.1254619768853322,-1.3587152948445649
139,-0.4811676481952294,-1.34119363635667
140,-1.1948831438410368,-1.3536189760666781
141,-1.3883129661433606,-1.3576736962389249
142,-1.240849430777538,-1.3397718271463979
143,-1.7828365406280091,-1.342311092853375
144,-0.1976611893574647,-1.3447642130185478
145,-0.5421953866076593,-1.3445966364414819
146,-0.5452063243697909,-1.3505252079567776
147,-1.63693500082581,-1.3673710662366332
148,-1.5976755537950686,-1.370116061773876
149,-0.15725825882246,-1.3709389989194816
150,-1.8904960597876295,-1.3903204677889556
151,0.01709372317590218,-1.37650686195576
152,-0.6288149112770142,-1.3829659483002894
153,-2.829111313367699,-1.384597441571009
154,-0.1670034475242884,-1.3509795842764527
155,-1.6604722068211613,-1.3543631246068544
156,-0.0997271109776014,-1.348764160117361
157,-1.990032912076164,-1.3578881690391547
158,-2.0752666690641517,-1.3791173440013937
159,-0.5768380955002901,-1.3785247464746209
160,-0.5361981091114241,-1.3663440616008935
161,-2.1439707760973974,-1.3784632569669228
162,-2.828587619592412,-1.3873729423717784
163,-1.5019124265190613,-1.3970873999471964
164,-0.1056480982427257,-1.397971298341399
165,-3.540373842836029,-1.3832175694696585
166,-1.3466884135154333,-1.3800896388769122
167,0.5976579819101075,-1.3742839962895699
168,-2.0028302601792167,-1.394483236123121
169,-0.09234917284021833,-1.3955776650832823
170,0.01709372317590229,-1.3908023909395828
171,-0.7966056696931233,-1.3943263065428426
172,-0.07496454426190235,-1.3706840293844045
173,0.5976579819101075,-1.3529616660619583
174,-2.02386481110965,-1.3670186995705669
175,-2.0307232542678553,-1.363783759213766
176,0.5976579819101075,-1.327972024100907
177,-0.6383911835205246,-1.2613654543947408
178,-0.7996235599269297,-1.2427929033827407
179,0.5976579819101075,-1.2163491329507956
180,-0.22834678980686018,-1.206692037004773
181,-2.6592390811216813,-1.2225354212277002
182,-2.868706112217734,-1.246291409717934
183,-0.09234917284021833,-1.229418091076887
184,-0.017258258822460133,-1.229418091076887
185,-0.6583866042519807,-1.230397988514817
186,-3.1107200169134503,-1.2591456982727953
187,-0.972402451062922,-1.262688108180937
188,-0.28560106227871385,-1.2444129753243995
189,-1.3733942385882592,-1.2393614484352826
190,-2.1009605930481943,-1.2493102865955883
191,0.01709372317590218,-1.2305361220027793
192,-2.7756139766317585,-1.2319395693381425
193,-0.22834678980686018,-1.2240511493375512
194,-2.10842369119658,-1.2159743611133498
195,-0.17433717877960847,-1.2142247836632591
196,-1.1899940794307773,-1.1885626082296676
197,-2.4478677345256914,-1.207166729541768
198,-2.799328037375882,-1.2150641608315274
199,-0.5800514701372874,-1.1848638958798108
200,-2.28351976879231,-1.192854283698599
201,-0.07496454426190247,-1.1740863210636936
202,-2.859209408280486,-1.1962281274659599
203,-0.017258258822460133,-1.1899947486479938
204,-0.07496454426190247,-1.1600049674231838
205,-0.7240160683019708,-1.1674160653379626
206,-1.9827758859571822,-1.1646443752946947
207,-2.628024143288462,-1.1803866692883755
208,-2.319021482248667,-1.20265339238246
209,-2.8450547349567947,-1.2279014769171794
210,0.4411986934379941,-1.2230104299979416
211,-2.992444747820792,-1.2419384150378905
212,-0.530466668977264,-1.2474140189594223
213,-0.6596235599269297,-1.2315660371492925
214,-2.2081047124365987,-1.2522089916978134
215,-0.1670034475242884,-1.247675316577083
216,-1.6496066587171931,-1.2547821868960163
217,0.45765798191010765,-1.250069861394775
218,-0.0997271109776014,-1.2334854459272864
219,0.5655625214132369,-1.1876396343517164
220,0.1267121239490691,-1.1865434503439847
221,-1.835554518148829,-1.1839827610883975
222,0.5976579819101077,-1.1664356022681388
223,0.45765798191010765,-1.1623355307206353
224,-2.553508166393679,-1.1807828790097732
225,-0.4854581655460876,-1.168737842820008
226,0.01709372317590218,-1.1435705037592583
227,-1.98191627058244,-1.1556893324907245
228,0.04765082715978168,-1.1302129255601512
229,0.5976579819101075,-1.1281269886617635
230,-4.020504277034833,-1.1639845108253524
231,-2.1721332430488123,-1.1078550504470162
232,-1.2915875111646709,-1.101468399974766
233,0.07404536718650238,-1.0883304528409474
234,0.4255625214132369,-1.0728202078579618
235,-1.6570275901985334,-1.068349695879878
236,-1.974515861400071,-1.0831021925172197
237,-1.4636223654923168,-1.0824350813921437
238,-2.470441707789,-1.0958848787011803
239,-1.492338646488405,-1.105996588684112
240,-0.017258258822460022,-1.0942203398339263
241,-0.004896339705335359,-1.0803861735695461
242,-1.8854221346265583,-1.0868319006080362
243,0.5976579819101077,-1.063026955382655
244,0.45765798191010765,-1.0564737636699792
245,0.01709372317590218,-1.050880872572144
246,0.01709372317590218,-1.045257872096687
247,0.04765082715978168,-1.028412013816831
248,-2.066892330867679,-1.033104181587557
249,-2.0216213878045872,-1.0517478128773783
250,-2.5394952360355387,-1.0582378046398575
251,-2.0486792439970616,-1.0788955343115871
252,0.5976579819101077,-1.066630805379716
253,0.017093723175902235,-1.03816875501428
254,0.45765798191010765,-1.0319221407199357
255,0.5655625214132369,-1.009661793437592
256,-2.2482716592802094,-1.031147238920618
257,-1.7886344838498485,-1.0291332546383547
258,0.4411986934379941,-1.0039686010133333
259,-2.4509839181472914,-1.0227100592398033
260,-2.1660185135846235,-1.0390082632845354
261,0.01709372317590218,-1.0173976182918023
262,-0.12290627682409774,-0.9903408048641192
263,0.45765798191010765,-0.9707451007798276
264,-1.5551129653972628,-0.9852397494513728
265,-1.5283060396113275,-0.965119071419126
266,0.5655625214132369,-0.9459965620698392
267,-1.6003743537964685,-0.967976885426905
268,-1.5687999697307022,-0.9636365825224199
269,-1.255988784673038,-0.9752729786407479
270,-1.9457717741376452,-0.9949016336138834
271,-2.91599764563485,-1.0160955533733007
272,-0.017258258822460022,-1.0155184905189063
273,0.5976579819101077,-1.0155184905189063
274,-2.633254355201951,-1.0216123859598292
275,-0.044270710362811896,-1.001747860520779
276,-2.789281984328778,-1.0356172601831677
277,-2.507377801962089,-1.0543071263675834
278,-2.3183116845259737,-1.0694940076135737
279,-1.564448328008133,-1.0911150707127562
280,-2.2362000104185653,-1.1111936029188734
281,-0.017258258822460133,-1.084773794695881
282,-2.5156392069968043,-1.0812431256436716
283,0.2591336203634504,-1.077728297711635
284,-1.9417550327425963,-1.0969732654508364
285,-0.017258258822460022,-1.090561981996541
286,0.3425849926908262,-1.0560289319004985
287,0.15300973639238635,-1.0447748100259453
288,0.5655625214132369,-1.0362631741890258
289,-3.141365652035516,-1.0539428883234985
290,0.5655625214132369,-1.0272776571788842
291,-2.612341231428486,-1.0535720067249281
292,0.5976579819101075,-1.0198392871395092
293,-3.557508935660178,-1.0531309085980425
294,-0.017258258822460133,-1.0322192542743014
295,-0.017258258822460133,-1.0306484650747298
296,-1.7410256872047434,-1.0361587811524695
297,0.45765798191010765,-1.0071035239881114
298,-2.6990956998925935,-1.0061012006132786
299,0.4933394008109706,-0.995367291903796
300,-0.10564809824272581,-0.9735885751983002
301,-1.0760903749678363,-0.9835998335053595
302,-2.124579585265409,-0.9762535352752088
303,0.5976579819101077,-0.9701043728678832
304,-2.5155395629406794,-0.9945101230546709
305,-1.5687414731303382,-1.0029573771029545
306,-0.017258258822460133,-0.9833022008316072
307,-3.0993294188323177,-0.9880152535870459
308,0.01709372317590218,-0.9646541015328002
309,-1.4128939232500384,-0.9503324934157327
310,-3.0634820196234163,-0.9853793005463468
311,0.5053326487222826,-0.950401526580916
312,-2.463113706679885,-0.9697279969579421
313,-2.082718023711217,-0.983958941595785
314,0.06240725155510519,-0.9612538219558681
315,-2.6461023401067836,-0.9860448108816929
316,0.4151295430662111,-0.9653974488638589
317,0.5053326487222826,-0.9649207021957373
318,0.4411986934379941,-0.9595114441515813
319,0.5053326487222826,-0.9601137428784908
320,0.5655625214132369,-0.955725238903849
321,0.45765798191010765,-0.9327931139032597
322,-2.3736087240820254,-0.9625057809631811
323,0.5715851005804221,-0.9613665097764781
324,0.01709372317590218,-0.9356604908807822
325,-0.06739908076983353,-0.9314799000330196
326,0.5655625214132369,-0.9259952120506462
327,-3.402342018089893,-0.9401994695257209
328,-0.017258258822460022,-0.9408485603855431
329,-2.758903668172346,-0.9744141768863678
330,-1.4887552005618951,-0.9490966861216384
331,0.44852836989573963,-0.9228900699921928
332,-0.12357396296046055,-0.9112099345101509
333,-0.013565891503128355,-0.912086047097047
334,-0.22837010076990968,-0.9186253733188784
335,0.5976579819101075,-0.8960785175977921
336,0.5976579819101075,-0.8703567791646902
337,-2.831868280904586,-0.884039238318813
338,-1.5263973422246562,-0.8745987946631696
339,0.45765798191010765,-0.8550988283791845
340,0.42265491025971513,-0.8506996966883626
341,-0.28744740718432127,-0.8535252073631524
342,0.04765082715978168,-0.8341944777452892
343,0.5655625214132369,-0.8345154323502578
344,0.45765798191010765,-0.8345154323502579
345,-2.602908457053375,-0.8607154541525506
346,-0.1687992719087918,-0.8625743841033975
347,0.09040968212157097,-0.8621467955537797
348,-0.017258258822460133,-0.8416504548333275
349,0.5976579819101075,-0.8154576611361806
350,0.5976579819101075,-0.784086128956724
351,-0.32297990077137345,-0.7668291355244672
352,-2.332759298256614,-0.7961333083261343
353,0.044372224557558626,-0.7958605233123178
354,0.5976579819101075,-0.7944605233123179
355,0.5976579819101075,-0.794139568707349
356,0.5976579819101075,-0.765680272295446
357,0.5655625214132369,-0.7421383022428151
358,-0.15114661387124273,-0.7480617553159076
359,-0.2503321012931511,-0.7260552371473661
360,-0.09425467597701875,-0.70533759877129
361,-0.004896339705335359,-0.7055574994001025
362,-2.624878071825351,-0.7305772173501149
363,0.5976579819101077,-0.729177217350115
364,0.45765798191010765,-0.7090495078770412
365,0.5053326487222826,-0.6887131209937052
366,-0.004896339705335359,-0.6944177096048908
367,-0.004896339705335359,-0.6784629294639796
368,0.5976579819101075,-0.6567983499475715
369,0.5976579819101075,-0.63826188228174
370,-0.10564809824272581,-0.6198606455227907
371,0.5976579819101075,-0.5847240892473412
372,0.45765798191010765,-0.5799749268400155
373,-0.050722348888751476,-0.5864587301480041
374,-0.031032123095693205,-0.5604365078269415
375,0.2015140596952802,-0.5579786601263607
376,0.2938395066013113,-0.5271474452170597
377,0.1260571205065534,-0.5008130959923733
378,-0.017258258822460133,-0.47780256173533814
379,-2.8790099894305192,-0.490948178349562
380,0.5010373641685807,-0.4635758046036905
381,0.5976579819101075,-0.45742664219636486
382,0.2938395066013113,-0.4293318550603837
383,-0.050722348888751476,-0.4324304147529057
384,-0.642510983519208,-0.41943797426067186
385,-0.6341727413040081,-0.4256071190854873
386,0.5976579819101075,-0.42305638919329447
387,0.5976579819101075,-0.4186099067381173
388,0.5053326487222826,-0.4192122054650269
389,0.3641530958843844,-0.3841570179858278
390,0.01930949106230112,-0.3896195482893372
391,0.5976579819101075,-0.35751955615595127
392,0.5976579819101075,-0.3575195561559512
393,-1.0652957350640182,-0.33259742414998966
394,-1.1814990943752401,-0.3442398325055175
395,0.08980331728083407,-0.34316921674448453
396,-0.6229908932486863,-0.33198886880492395
397,-0.15114661387124273,-0.33807691476273743
398,-2.178397365277044,-0.332869931416582
399,-0.050722348888751476,-0.33831054891357915
400,-0.7056997966028979,-0.3443110658971809
401,-2.3300110814707695,-0.3568502729622103
402,0.08980331728083407,-0.3347064439367478
403,0.0930896923391915,-0.3397521268324569
404,0.5976579819101075,-0.3086201513839491
405,0.5053326487222826,-0.2878794101654229
406,-2.4079376505140058,-0.31178620408233837
407,-0.40234201808989245,-0.2848163300749141
408,0.5976579819101075,-0.279010687487572
409,0.5053326487222826,-0.2598284217678488
410,-0.15725825882246,-0.2307661841598393
411,-1.4051341727306632,-0.24987085237436873
412,0.01709372317590218,-0.22506877807581083
413,0.2780688778986491,-0.2014609090597122
414,-2.378377064761922,-0.22586875222288247
415,0.01709372317590218,-0.1992367915900556
416,-0.017258258822460133,-0.2035606696089423
417,0.5976579819101075,-0.20263741627706408
418,-1.6290062715079634,-0.22333946592652368
419,0.5053326487222826,-0.22333946592652365
420,0.5053326487222826,-0.2239417646534332
421,-0.017258258822460133,-0.2286909270607589
422,-0.7747161996266947,-0.2127020018162056
423,-0.017258258822460133,-0.2185904354102344
424,0.5053326487222826,-0.2137080461547706
425,0.5976579819101075,-0.20705747552797116
426,0.01709372317590218,-0.21254216351034455
427,-0.013801570315789762,-0.1786567590326035
428,0.5976579819101075,-0.17250759662527781
429,0.33956323767202706,-0.1415229275668341
430,-0.017258258822460022,-0.12680795814943976
431,0.44852836989573963,-0.12680795814943974
432,0.436694640082421,-0.12120527211901093
433,-0.8309022691638039,-0.12937863589561768
434,-0.017258258822460133,-0.12726751747614318
435,-0.8377157440019081,-0.14162125473526335
436,0.5976579819101075,-0.14162125473526335
437,-2.3970632560414398,-0.13727320448663188
438,-2.8664798711904873,-0.15067402977629019
439,-0.5760692546614501,-0.16101130214200576
440,-0.12290627682409774,-0.16646691401284394
441,-0.004896339705335359,-0.16364140333805402
442,-1.2755444013806643,-0.17687335562345846
443,0.5976579819101075,-0.1765524010184898
444,0.5976579819101075,-0.17515240101848978
445,0.02844705454816754,-0.14883884590247437
446,-0.004896339705335359,-0.14719981658043982
447,0.5053326487222826,-0.1430505869144327
448,-1.5885624819152346,-0.15876362914536044
449,-0.45492889277707416,-0.16928949789223222
450,0.5053326487222826,-0.1702127512241105
451,-2.5329318278087145,-0.19231227049448388
452,0.5976579819101075,-0.1630080976928167
453,-0.017258258822460133,-0.1636244025266169
454,0.01709372317590218,-0.16943004511395895
