epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6967093890636354,0.6978542034265462,0.515527950310559,0.04878048780487805,0.4276234567901235,0.026049992475254292,1.3998250931407684e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
1,0.695628044355273,0.6969818312853091,0.515527950310559,0.07142857142857142,0.43873456790123455,0.026167869647957826,1.4105414947084966e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
2,0.6945358292540679,0.6960899063455878,0.5217391304347826,0.07228915662650602,0.4520061728395061,0.02624726910134622,1.4171531644496698e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
3,0.6934355619171265,0.6951803681748943,0.5279503105590062,0.6122448979591837,0.4682098765432099,0.02627435665143339,1.4181732209666163e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
4,0.6923310193549461,0.6942560633419808,0.5590062111801242,0.6282722513089005,0.483641975308642,0.02624137111597815,1.4128078161565176e-05,0.1875,2,14,1.0,keep,none,0,0
5,0.6912265409255577,0.693320374466846,0.5652173913043478,0.6354166666666666,0.4969135802469136,0.02614398758682167,1.4006799669165866e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
6,0.6901267542770534,0.6923769662106994,0.5714285714285714,0.6145251396648045,0.508641975308642,0.025980952367549062,1.3817897469442663e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
7,0.6890363983119498,0.6914296769404198,0.577639751552795,0.6222222222222222,0.5180555555555555,0.025753972256800567,1.3564971760251905e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
8,0.6879601461517065,0.6904824725751014,0.5900621118012422,0.625,0.5263888888888889,0.025467939988472316,1.3255298061685069e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
9,0.6869024291277037,0.6895394765828461,0.5900621118012422,0.6292134831460674,0.5351851851851852,0.02513111366134163,1.2899736384714943e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
10,0.6858673110708948,0.6886050735981015,0.5962732919254659,0.632768361581921,0.5425925925925926,0.024754930876898524,1.251215773811982e-05,0.16666666666666666,2,14,1.0,propose_prune_layer,in_progress,0,0
11,0.6865034233353414,0.6876838261366078,0.6024844720496895,0.6363636363636364,0.5496913580246914,0.02716083084957246,1.5270089797546844e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,0
12,0.696055951272503,0.6895581537832384,0.6211180124223602,0.6629834254143646,0.5424382716049383,0.022437726437822842,1.048786947521996e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,0
13,0.694322431308743,0.6933683229244494,0.5590062111801242,0.4496124031007752,0.5209876543209876,0.021377034783142075,9.490954909906306e-06,0.16666666666666666,2,14,1.0,keep,in_progress,0,0
14,0.698738343881701,0.6905698132561842,0.5527950310559007,0.5263157894736842,0.5513888888888888,0.018432731225467982,7.049789861713613e-06,0.16666666666666666,2,14,1.0,keep,in_progress,0,0
15,0.7055647174538013,0.6992696204145956,0.5279503105590062,0.15555555555555556,0.42978395061728397,0.009596126966161694,3.733383818801542e-06,0.3333333333333333,1,7,1.0,stop_growth,committed,1,0
