episode,return,return_ma100
1,-5.718376309687521,-5.718376309687521
2,-6.778673848701752,-6.2485250791946365
3,-2.163991957240743,-4.887014038543339
4,-2.1507329219335984,-4.202943759390903
5,-1.813270436027402,-3.725009094718203
6,-9.12411896090292,-4.624860739082322
7,-1.6318112710129464,-4.19728224364384
8,-1.7547766883763698,-3.8919690492354064
9,-2.956474617228949,-3.788025223456911
10,-7.518997253154893,-4.16112242642671
11,-1.6381752320436254,-3.9317635905737016
12,-3.156612113371584,-3.8671676341401917
13,-3.4771961537123435,-3.837169827953434
14,-5.772645591787386,-3.9754180967987165
15,-1.8695141836784346,-3.8350245025906977
16,-12.898899886469394,-4.401516714083116
17,-2.8166102730593687,-4.30828692343466
18,-5.722040767970141,-4.386828803686631
19,-2.6889869991793183,-4.297468708712563
20,-2.9667495263922987,-4.230932749596549
21,-5.205597637572633,-4.2773453633096965
22,-7.405868395293722,-4.419550955672606
23,-1.634993251528286,-4.298483229405462
24,-2.8672252345258302,-4.238847479618811
25,-5.557502801814746,-4.291593692506648
26,-5.881143741713643,-4.352730232860764
27,-2.7570266883763694,-4.293630101583564
28,-8.061602883473485,-4.428200558079633
29,-1.6381752320436254,-4.331992788216322
30,-2.8672252345258302,-4.283167203093305
31,-12.771698763304041,-4.55699080180978
32,-1.6413572125589648,-4.465877252145693
33,-14.100321886915232,-4.757830119865981
34,-10.629749597163666,-4.930533633904149
35,-1.7570266883763697,-4.839862006889069
36,-2.8694752345258303,-4.78512904099009
37,-6.133851533070389,-4.821581000235504
38,-3.757223020598003,-4.793571579718727
39,-8.157934264885917,-4.87983728959481
40,-1.7764618208166634,-4.802252902875356
41,-0.5697111290404899,-4.699020176684262
42,-7.786892835830573,-4.7725409542829835
43,-2.7572230205980035,-4.725673095360077
44,-9.862803701100916,-4.842426063672369
45,-2.9667495263922987,-4.800744362843923
46,-7.5877443091861885,-4.8613313181991895
47,-1.7393354033563222,-4.7949058732025325
48,-2.9635675458769595,-4.75675299138325
49,-1.8672641836784347,-4.697783832042335
50,-11.287533650876274,-4.829578828419014
51,-6.059490640769827,-4.853694746308245
52,-1.7547766883763698,-4.794100168271094
53,-3.495470216160749,-4.769597716344483
54,-3.113757700577281,-4.738934012348794
55,-0.8493330961643295,-4.668213995690895
56,-1.628629290497607,-4.613935697383872
57,-1.6413572125589648,-4.561785197650102
58,-12.884053425398083,-4.7052725808871365
59,-7.064763650175176,-4.745263954942866
60,-2.5248070409107597,-4.708256339708997
61,-2.69772191363409,-4.675296758953671
62,-2.9635675458769595,-4.647688223258886
63,-1.7302528247689934,-4.601379724870157
64,-9.108112113591277,-4.671797418443925
65,-1.9101820227897353,-4.629311027741553
66,-1.692168979694658,-4.5848088754984175
67,-6.7445662430352815,-4.61704406008852
68,-6.335028991244772,-4.64230854437023
69,-8.784058215342322,-4.702333901920549
70,-1.6381752320436254,-4.658560206636594
71,-3.4273949846664165,-4.641219851397577
72,-1.733434805284333,-4.600833947979337
73,-4.4986931601506335,-4.599434759104972
74,-5.506882521525758,-4.611697566705253
75,-5.516584839412269,-4.623762730341347
76,-10.10310601081071,-4.695859352452785
77,-1.9257579313294673,-4.659884009321313
78,-8.386369845154999,-4.707659468755079
79,-13.710786990811322,-4.821623108274777
80,-3.030321124114467,-4.799231833472774
81,-3.1991002919337688,-4.779477123083403
82,-1.7881433981842594,-4.742997443511463
83,-4.676212030844408,-4.742192799985354
84,-1.7570266883763697,-4.7066551081804855
85,-2.2069766695846313,-4.677247126549945
86,-7.545401903556369,-4.71059776349188
87,-7.6975980983948435,-4.744931100674673
88,-6.398626136292148,-4.763723089715781
89,-1.6381752320436254,-4.728604574461038
90,-2.1772866147906265,-4.700256597131367
91,-0.512535400874118,-4.654237682886781
92,-11.121336247990545,-4.724532232507475
93,-3.6954719136340897,-4.713467067788406
94,-6.240557669904072,-4.7297127124917635
95,-6.520362707385434,-4.748561659806434
96,-14.28447955826353,-4.847894137915362
97,-10.202956563999743,-4.903100967050253
98,-1.634993251528286,-4.869752929136763
99,-0.5697111290404899,-4.826318163479225
100,-1.7498570605192194,-4.795553552449626
101,-3.8091542643948033,-4.776461331996698
102,-0.512535400874118,-4.713799947518422
103,-1.6159013684362493,-4.708319041630376
104,-10.485733951696032,-4.791669051928
105,-1.6794410576333,-4.79033075814406
106,-3.0270037761612154,-4.729359606296643
107,-1.6381752320436254,-4.72942324590695
108,-1.634993251528286,-4.728225411538469
109,-2.5821130487433877,-4.724481795853613
110,-10.199774583484405,-4.751289569156908
111,-1.6095374074055706,-4.751003190910527
112,-11.356700462514352,-4.833004074401956
113,-3.273232714864714,-4.83096444001348
114,-1.634993251528286,-4.789587916610888
115,-1.628629290497607,-4.78717906767908
116,-1.6190833489515888,-4.674380902303902
117,-1.7765984158609756,-4.663980783731918
118,-6.130992456704562,-4.668070300619262
119,-1.628629290497607,-4.657466723532446
120,-0.6412358649456776,-4.634211586917979
121,-3.631811271012946,-4.618473723252382
122,-1.6381752320436254,-4.560796791619881
123,-12.753913992422941,-4.671985999028827
124,-2.9667495263922987,-4.672981241947493
125,-0.512535400874118,-4.622531567938085
126,-1.628629290497607,-4.5800064234259255
127,-0.512535400874118,-4.557561510550903
128,-3.3967327741170803,-4.510912809457339
129,-4.4120309279413785,-4.538651366416317
130,-1.622265329466928,-4.526201767365727
131,-1.628629290497607,-4.414771072637664
132,-1.6991708100709886,-4.415349208612784
133,-2.9667495263922987,-4.304013485007554
