episode,return,return_ma100
1,-7.109251431313669,-7.109251431313669
2,-1.7569554049940024,-4.433103418153836
3,-3.8143165202126625,-4.226841118840111
4,-3.9257113323777295,-4.151558672224516
5,-11.408406559285257,-5.602928249636664
6,-2.2460727700760557,-5.043452336376562
7,-3.5112341538320453,-4.824564024584489
8,-4.211152749461226,-4.747887615194081
9,-3.0326641360890987,-4.55730722862686
10,-2.4370372202915855,-4.345280227793333
11,-3.64073337891625,-4.281230514259053
12,-3.75113442392503,-4.237055840064551
13,-3.3801110072568386,-4.17113700677165
14,-1.8221089287387882,-4.00334928691216
15,-1.2694095473213813,-3.821086637606108
16,-3.2602945603128926,-3.7860371327752818
17,-2.666050240288224,-3.7201555508642787
18,-4.557621183814898,-3.7666814193615354
19,-3.75113442392503,-3.7658631564438245
20,-4.694569338310836,-3.812298465537175
21,-1.5075078625123268,-3.7025465320598014
22,-3.75113442392503,-3.70475507259913
23,-3.740183380250444,-3.706295433801361
24,-4.703217091235212,-3.747833836194438
25,-11.591880735892897,-4.061595712182376
26,-4.680619213148417,-4.085404308373378
27,-4.925711332377729,-4.116526790743909
28,-4.002967401454182,-4.1124710982692765
29,-4.421255196882242,-4.123118825807654
30,-1.2694095473213813,-4.027995183191446
31,-5.867229546614989,-4.087325323947043
32,-4.385528633473914,-4.096644177369758
33,-3.925711332377729,-4.091464394188181
34,-7.580807307067869,-4.194092126919937
35,-5.671379091021836,-4.236300325894277
36,-4.925711332377729,-4.2554506316299285
37,-3.9257113323777295,-4.246538758677167
38,-1.3841928298185253,-4.171213865812465
39,-4.612701698813284,-4.18253406665864
40,-4.546535075280359,-4.1916340918741835
41,-4.207553325102652,-4.192022365855365
42,-5.072228498692827,-4.212979654732448
43,-5.410867248442899,-4.24083750574897
44,-2.841758106896772,-4.209040246684148
45,-2.6809927715849864,-4.175083636126388
46,-3.86722954661499,-4.168391155919619
47,-3.7511344239250306,-4.1595133531112225
48,-3.9257113323777295,-4.154642477679276
49,-3.86722954661499,-4.148776907657555
50,-2.88562211965154,-4.1235138118974355
51,-3.75113442392503,-4.116212255270525
52,-1.862894087295011,-4.072879213578688
53,-3.8672295466149897,-4.0689990311831465
54,-1.6734705187352226,-4.024637392063741
55,-4.728552413939803,-4.037435847006941
56,-1.3637778850371434,-3.98969195482891
57,-3.680619213148417,-3.9842696260274977
58,-2.5312517502660032,-3.959217593686782
59,-2.621462061242599,-3.9365437711029823
60,-7.509463854316866,-3.996092439156547
61,-1.3165937161792622,-3.9521662305831486
62,-2.373677521970886,-3.926706735282951
63,-3.539340766212136,-3.9205580691072237
64,-3.498758304096981,-3.913967447778939
65,-3.75113442392503,-3.911462324335033
66,-4.590764416250498,-3.9217547802731456
67,-2.3546667795788783,-3.8983654071284555
68,-3.75113442392503,-3.896200245610758
69,-3.6489637989747012,-3.892617108702989
70,-4.867229546614989,-3.906540143530303
71,-1.778429555221092,-3.876566754962568
72,-3.4860751362202738,-3.871143260257814
73,-4.867229546614989,-3.884788277879145
74,-8.387935227314967,-3.9456416150336833
75,-1.2694095473213813,-3.9099585207975185
76,-1.4109620538950247,-3.8770769883382754
77,-3.181923945473126,-3.868049026742624
78,-3.75113442392503,-3.8665501215782965
79,-3.6797434998729406,-3.864185480797216
80,-1.435973932106279,-3.833832836438579
81,-3.970446874248652,-3.835519429497963
82,-2.3546667795788787,-3.817460250840413
83,-3.86722954661499,-3.818059880909986
84,-3.8672295466149897,-3.818645234073141
85,-2.3074806699458854,-3.8008668274363497
86,-2.611046558467622,-3.7870317080297364
87,-3.683689057001992,-3.7858438614661996
88,-3.9257113323777295,-3.7874332645447395
89,-4.981752118057615,-3.8008525775055584
90,-3.75113442392503,-3.8003001535768854
91,-3.700529047354477,-3.799203767794222
92,-1.2694095473213813,-3.7717060045282125
93,-3.925711332377729,-3.773361975795412
94,-1.9581185925450255,-3.7540508759735993
95,-4.671379091021836,-3.7637069624477912
96,-1.7148832244915038,-3.7423650485107465
97,-3.75113442392503,-3.7424554544428528
98,-4.074112255867331,-3.7458397075186123
99,-3.700529047354477,-3.7453820240826112
100,-2.2285642548811584,-3.7302138463905963
101,-2.8221089287387886,-3.6873424213648476
102,-2.0437973068077966,-3.690210840382986
103,-2.8138408237846675,-3.680206083418706
104,-4.300005815929782,-3.6839490282542267
