episode,return,return_ma100
1,-1.3451945996245798,-1.3451945996245798
2,-6.860561168695392,-4.1028778841599856
3,-5.814140065251936,-4.673298611190636
4,-1.348376580139919,-3.8420681034279567
5,-5.953059502762867,-4.264266383294939
6,-1.348376580139919,-3.778284749435769
7,-6.6113010557081076,-4.183001364617532
8,-13.778920019412638,-5.38249119646692
9,-8.538732740923354,-5.7331847014065245
10,-6.787233665770693,-5.838589597842941
11,-6.355606002903019,-5.885591089212038
12,-1.5342617837208006,-5.522980313754435
13,-11.961272746927708,-6.018233577844687
14,-7.210573801328671,-6.103400736664972
15,-6.9450392726040215,-6.159509972394242
16,-5.384288476012471,-6.111058628870381
17,-1.5342617837208006,-5.841835285038052
18,-7.5761970448258475,-5.9381887161373745
19,-4.1767164187176595,-5.845479647852127
20,-7.836484071259777,-5.945029869022509
21,-2.9096002103672234,-5.800485599562734
22,-6.741460130054461,-5.843257169130539
23,-6.002813253796478,-5.850194390202971
24,-6.737309052528201,-5.887157501133189
25,-6.385759617861899,-5.907101585802338
26,-7.823615077069644,-5.980813643158773
27,-6.885120660847198,-6.0143064956657515
28,-1.531079803205461,-5.854191256649313
29,-5.949571246238951,-5.857480221807576
30,-9.7241772093282,-5.986370121391597
31,-1.3451945996245798,-5.836654781979757
32,-1.9096002103672238,-5.713934326616866
33,-6.6900283351260175,-5.743512932935325
34,-5.752859089592622,-5.743787819895834
35,-1.3451945996245798,-5.618113727888083
36,-6.576156773325497,-5.64472603470579
37,-2.092303433432766,-5.548714613049762
38,-7.691878703783246,-5.605113668069063
39,-5.8164970577088555,-5.610533754982905
40,-14.954632106276641,-5.844136213765248
41,-5.3974451382179165,-5.833241309483606
42,-1.3515585606552587,-5.726534577368645
43,-8.08148105787836,-5.781300774589801
44,-4.80018837656449,-5.759002765543771
45,-2.0945534334327656,-5.677570558163527
46,-7.343059967067183,-5.713776849661432
47,-13.095373657507176,-5.870832100892193
48,-6.358997922602589,-5.881002222177827
49,-5.77158872717615,-5.878769293708405
50,-1.3515585606552587,-5.788225079047342
51,-6.264525857798127,-5.797564310003239
52,-7.416952303630905,-5.828706386803772
53,-2.277256656498307,-5.761697901326309
54,-5.947214253782031,-5.765133389334749
55,-1.5056239590827452,-5.6876877633301675
56,-0.22273674897041115,-5.5900993523594575
57,-5.669788347572152,-5.591497404907048
58,-1.5278978226901216,-5.521435343144687
59,-0.7803923597130554,-5.441078682408558
60,-6.877972741543763,-5.465026916727479
61,-5.6132989414278915,-5.467457605656993
62,-7.514282401299395,-5.500470908812515
63,-6.55887016502228,-5.517270897006322
64,-6.533901367161209,-5.533155748102492
65,-5.21018844020824,-5.528187020288734
66,-7.553780588300183,-5.558877831925272
67,-4.2797932473070945,-5.539787017229478
68,-1.3515585606552587,-5.478195422279857
69,-1.7763253434155477,-5.424545131281823
70,-7.5321583158663525,-5.454653891061602
71,-1.5396937642361401,-5.399513607585187
72,-4.402704071950119,-5.385669030701367
73,-6.864095394610434,-5.405921446645326
74,-5.233912288381515,-5.403596998560681
75,-5.954237998991327,-5.410938878566422
76,-5.8164970577088555,-5.4162751703972445
77,-5.495981167822266,-5.417310313220946
78,-5.817675553937315,-5.422443200922437
79,-1.3515585606552587,-5.370913015602599
80,-4.5696908861458905,-5.360897738984391
81,-6.28626215954051,-5.372321991090022
82,-6.360322716570492,-5.38437078042515
83,-2.462209879563849,-5.349164022583447
84,-1.909600210367224,-5.308216834342778
85,-4.179898399232999,-5.294942499812075
86,-7.4289211350811835,-5.319756204873343
87,-2.7157802953876264,-5.2898254472930475
88,-1.3451945996245798,-5.245000096751361
89,-1.1075457000909887,-5.198511845103491
90,-4.017048623637987,-5.185384475976097
91,-1.7246469873016819,-5.147354393682971
92,-5.258091905425188,-5.148558062288865
93,-5.9554164952197866,-5.157233959417154
94,-6.955383366375859,-5.176363208427353
95,-1.3515585606552587,-5.136102106871857
96,-2.672318242957624,-5.110437691622751
97,-1.3420126191092403,-5.0715879486071485
98,-6.807186122964786,-5.089298134059777
99,-2.524593297304312,-5.063392024597601
100,-1.7223969873016818,-5.029982074224641
101,-1.938104872248503,-5.035911176950881
102,-5.419558746217136,-5.021501152726097
103,-4.7497906282441,-5.010857658356019
104,-9.635330302811154,-5.093727195582732
105,-1.7106010457556635,-5.05130261101266
106,-1.722396987301682,-5.055042815084278
107,-0.4086219525512924,-4.99301602405271
108,-2.1385498090312915,-4.876612321948896
109,-5.926190250315605,-4.850486897042819
110,-1.7865302947038961,-4.80047986333215
111,-2.0945534334327656,-4.757869337637448
112,-7.24113031281373,-4.814938022928377
113,-3.644913102629392,-4.731774426485394
114,-4.80018837656449,-4.7076705722377525
115,-1.5278978226901216,-4.653499157738613
116,-1.3388306385939008,-4.613044579364428
117,-2.9715446482759154,-4.627417408009978
118,-1.724646987301682,-4.568901907434737
119,-1.907350210367224,-4.546208245351233
120,-2.360696592920432,-4.49145037056784
121,-0.22273674897041115,-4.464581735953871
122,-3.431878154207305,-4.4314859161954
123,-1.3515585606552587,-4.384973369263988
124,-2.638163102629391,-4.343981909765
125,-1.3451945996245798,-4.2935762595826255
126,-2.2795066564983073,-4.238135175376913
127,-2.4622098795638494,-4.193906067564079
128,-5.21018844020824,-4.2306971539341065
129,-4.204272771826018,-4.213244169189978
