epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.7029658989415275,0.7065248694728002,0.2833333333333333,0.18867924528301888,0.2722222222222222,0.08120529235295579,0.00012089427322588457,0.24074074074074073,3,15,1.0,keep,none,0,0
1,0.699532108288696,0.7033963917297851,0.2833333333333333,0.2711864406779661,0.29888888888888887,0.07236899211228225,9.515856885895944e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
2,0.6965812265993502,0.7006523223254121,0.2833333333333333,0.31746031746031744,0.33777777777777773,0.06759152233673563,8.215638582836289e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
3,0.6939306995495719,0.6981563593670839,0.31666666666666665,0.36923076923076925,0.3744444444444444,0.06581546094559132,7.715435979453771e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
4,0.6914472041781404,0.6958221652170471,0.35,0.417910447761194,0.42444444444444446,0.06562592385458595,7.613653621879124e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
5,0.6890550114150987,0.6936009700919403,0.45,0.5352112676056338,0.46555555555555556,0.06597719519666258,7.65258037054616e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
6,0.6867190717376149,0.6914732450603068,0.5,0.5945945945945946,0.5077777777777779,0.06638715548370126,7.716362919604705e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
7,0.6844281615485974,0.6894362209581507,0.5333333333333333,0.6410256410256411,0.5366666666666666,0.06675945015294085,7.781318747137582e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
8,0.6821820716639627,0.6874945398203862,0.5666666666666667,0.675,0.5633333333333334,0.06718160345783829,7.86825742318685e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
9,0.6799820754211865,0.6856533744933413,0.5666666666666667,0.675,0.5866666666666668,0.06780483241400524,8.01379760969859e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
10,0.6778229705794909,0.6839114965801266,0.55,0.6666666666666666,0.6077777777777779,0.06878833309963363,8.257408284685564e-05,0.24074074074074073,3,15,1.0,stop_growth,none,0,0
11,0.6756867224028789,0.6822542406871779,0.5333333333333333,0.6585365853658537,0.62,0.07026836703095764,8.635058117891363e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
12,0.6735400852484587,0.6806487930042909,0.5333333333333333,0.6585365853658537,0.6288888888888889,0.07232663863675487,9.17266018567853e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
13,0.6713391853507222,0.6790458885694284,0.5166666666666667,0.6506024096385542,0.6466666666666667,0.07496106177662297,9.878860844239433e-05,0.24074074074074073,3,15,1.0,keep,none,0,0
14,0.6690395991372032,0.677389033944778,0.5333333333333333,0.6666666666666666,0.668888888888889,0.07808294887766681,0.00010742012552345475,0.24074074074074073,3,15,1.0,keep,none,0,0
15,0.6666043856824733,0.6756246838921778,0.5333333333333333,0.6666666666666666,0.6777777777777778,0.08154713511950712,0.00011733644122491545,0.24074074074074073,3,15,1.0,stop_growth,none,0,0
16,0.6640061757083882,0.6737073450999834,0.55,0.6823529411764706,0.6922222222222222,0.08519141340667385,0.00012815074694966103,0.24074074074074073,3,15,1.0,keep,none,0,0
17,0.661226210976295,0.6716007332176995,0.5333333333333333,0.6744186046511628,0.7077777777777778,0.08886564247207997,0.00013943959236610603,0.24074074074074073,3,15,1.0,keep,none,0,0
18,0.6582530941936285,0.669277721715605,0.55,0.6896551724137931,0.7211111111111111,0.09244805783191007,0.0001507993624820872,0.24074074074074073,3,15,1.0,keep,none,0,0
19,0.6550815316154875,0.6667198664284821,0.55,0.6896551724137931,0.7411111111111112,0.09585210875607567,0.00016189102907061917,0.24074074074074073,3,15,1.0,keep,none,0,0
20,0.6517106830347128,0.6639165308630203,0.55,0.6896551724137931,0.7622222222222222,0.09902630031170966,0.00017246798887726823,0.24074074074074073,3,15,1.0,stop_growth,none,0,0
21,0.6481422170492549,0.6608639333417055,0.5333333333333333,0.6818181818181818,0.7777777777777778,0.10194868428257063,0.00018238297847167128,0.24074074074074073,3,15,1.0,keep,none,0,0
22,0.6443785452696068,0.657564432874874,0.5333333333333333,0.6818181818181818,0.7911111111111111,0.10461788413013784,0.00019157524411669656,0.24074074074074073,3,15,1.0,keep,none,0,0
23,0.640421709587371,0.6540258129184752,0.5333333333333333,0.6818181818181818,0.8022222222222222,0.1070426774944391,0.0002000431967175575,0.24074074074074073,3,15,1.0,keep,none,0,0
24,0.6362734421515559,0.6502601891575801,0.55,0.6896551724137931,0.8166666666666667,0.10923189678961553,0.0002078089538478212,0.24074074074074073,3,15,1.0,keep,none,0,0
25,0.6319368195241982,0.6462831652013982,0.5833333333333334,0.7058823529411765,0.8333333333333333,0.11118738011892669,0.00021488666326806023,0.24074074074074073,3,15,1.0,stop_growth,none,0,0
26,0.6274186311263779,0.6421143056414705,0.6,0.7142857142857143,0.8477777777777777,0.11290367566968594,0.0002212731075255546,0.24074074074074073,3,15,1.0,keep,none,0,0
27,0.622730247328132,0.6377781532537347,0.6166666666666667,0.7228915662650602,0.8722222222222222,0.11437420634333251,0.00022696445315900925,0.24074074074074073,3,15,1.0,keep,none,0,0
