epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6977045048335355,0.7068357195039506,0.45,0.32653061224489793,0.38888888888888884,0.1779778096758891,0.0003296319614024624,0.17708333333333334,4,28,1.0,keep,none,0,0
1,0.6858983431616694,0.6952528028357705,0.5333333333333333,0.5,0.49666666666666665,0.17017419610576878,0.0003014802273280393,0.17708333333333334,4,28,1.0,keep,none,0,0
2,0.6746274038005873,0.6842010806905705,0.5666666666666667,0.5666666666666667,0.6155555555555555,0.16270692918297477,0.00027568111493958276,0.17708333333333334,4,28,1.0,keep,none,0,0
3,0.663963308923978,0.6737345978699044,0.7,0.7428571428571429,0.7455555555555555,0.1555516799929939,0.0002520141737102488,0.17708333333333334,4,28,1.0,keep,none,0,0
4,0.6539529308132656,0.6638904517236415,0.75,0.7945205479452054,0.8555555555555556,0.14895498932683743,0.000231115123881319,0.17708333333333334,4,28,1.0,keep,none,0,0
5,0.6445731292671842,0.6546559064094307,0.7666666666666667,0.8108108108108109,0.9244444444444444,0.14325983721885074,0.00021378507814767982,0.17708333333333334,4,28,1.0,keep,none,0,0
6,0.6357423345663482,0.6459605323014412,0.75,0.8,0.9555555555555556,0.13868841307281107,0.0002003515796357014,0.17708333333333334,4,28,1.0,keep,none,0,0
7,0.6273580462207035,0.6377082145903575,0.7833333333333333,0.821917808219178,0.9600000000000001,0.1352857018844322,0.0001906241739093545,0.17708333333333334,4,28,1.0,keep,none,0,0
8,0.6193253622952092,0.6298043345586203,0.8,0.8333333333333334,0.9622222222222222,0.13296937725736485,0.00018412727797962052,0.17708333333333334,4,28,1.0,keep,none,0,0
9,0.6115630928766566,0.6221625045350384,0.8,0.8333333333333334,0.9666666666666667,0.1315989692952378,0.00018031845350599554,0.17708333333333334,4,28,1.0,keep,none,0,0
10,0.7218055224410325,0.6146951134481665,0.8166666666666667,0.8450704225352113,0.97,0.1855657175000377,0.00028695417371892094,0.14166666666666666,5,35,1.0,add_layer,committed,1,0
11,0.7074430071504606,0.7057355790713504,0.5,0.3181818181818182,0.4077777777777777,0.17946549762307226,0.00026837637163725615,0.14166666666666666,5,35,1.0,keep,none,1,0
12,0.6937216159877512,0.6930941169358241,0.5666666666666667,0.43478260869565216,0.518888888888889,0.17128974081954065,0.00024441269294574435,0.14166666666666666,5,35,1.0,keep,none,1,0
13,0.6808133626020452,0.6813205107992111,0.5666666666666667,0.48,0.6188888888888889,0.16156637001290808,0.00021733789329724725,0.14166666666666666,5,35,1.0,keep,none,1,0
14,0.6688183514650411,0.6704856798038547,0.6333333333333333,0.6071428571428571,0.7044444444444444,0.151232109626243,0.00019028863954929839,0.14166666666666666,5,35,1.0,keep,none,1,0
15,0.6888705976913063,0.6605796884255883,0.65,0.6666666666666666,0.778888888888889,0.16476795516589418,0.0001885301478199795,0.11805555555555555,6,42,1.0,add_layer,committed,2,0
16,0.6736595023212149,0.6724997882117195,0.5833333333333334,0.6575342465753424,0.7311111111111112,0.16161763769626664,0.00018138928315599679,0.11805555555555555,6,42,1.0,keep,none,2,0
17,0.6591420745463067,0.6578950217196611,0.7333333333333333,0.7714285714285715,0.8488888888888889,0.15614775797217625,0.00016932000283797927,0.11805555555555555,6,42,1.0,keep,none,2,0
18,0.6454759999577039,0.6441365309128972,0.8,0.8285714285714286,0.9166666666666666,0.150059714486733,0.00015637346704825938,0.11805555555555555,6,42,1.0,keep,none,2,0
19,0.6326557226974557,0.6313122961399957,0.85,0.8656716417910447,0.9422222222222223,0.1442971352312754,0.00014458375789515998,0.11805555555555555,6,42,1.0,keep,none,2,0
20,0.7069935116942676,0.619330031569207,0.8833333333333333,0.8923076923076924,0.9566666666666666,0.1447240361638855,0.00012467285830360832,0.10119047619047619,7,49,1.0,add_layer,committed,3,0
21,0.6940597080160346,0.6991251288665892,0.4,0.4375,0.4166666666666667,0.14077199081922398,0.00011795571271434427,0.10119047619047619,7,49,1.0,keep,none,3,0
