episode,return,return_ma100
1,-4.7915864059446145,-4.7915864059446145
2,-3.879400213618622,-4.335493309781619
3,-3.579557225998442,-4.083514615187226
4,-1.4136308721007995,-3.4160436794156195
5,-3.5451329508693323,-3.441861533706362
6,-2.875011836323841,-3.3473865841426083
7,-5.70881278578253,-3.6847331843768827
8,-7.820439742514209,-4.201696504144048
9,-3.82043974251421,-4.159334641740733
10,-3.754875389197528,-4.1188887164864125
11,-4.7518300340615935,-4.176428836265975
12,-2.875011836323841,-4.06797741960413
13,-3.418424939624339,-4.0180118442210695
14,-2.790128819057336,-3.930305913852231
15,-3.004773657994299,-3.868603763461702
16,-3.777509466680197,-3.8629103699128584
17,-5.82043974251421,-3.978059156536467
18,-4.82043974251421,-4.024858077979675
19,-4.82043974251421,-4.066730797165703
20,-3.8067029929815055,-4.053729406956494
21,-0.5944739630456122,-3.889002957246451
22,-2.9209683587997093,-3.8450013845897812
23,-4.82043974251421,-3.8874117479778
24,-0.6634952816598376,-3.7530818952145513
25,-3.9120780385676226,-3.7594417409486742
26,-5.82043974251421,-3.838710894855041
27,-4.7915864059446145,-3.8740025804509512
28,-3.1720174842261835,-3.84893168415721
29,-2.919971813998451,-3.816898585186218
30,-3.7057610125790763,-3.8131939994326465
31,-1.2667850774641674,-3.731051776143341
32,-1.3534957091963646,-3.6567531490512475
33,-2.919971813998451,-3.6344264419284356
34,-3.3671311449764696,-3.6265648155474954
35,-4.82043974251421,-3.660675527746544
36,-6.142537361093634,-3.729616134228408
37,-4.587148371956924,-3.7527926811940433
38,-3.831522977346021,-3.7548645310927795
39,-1.0978349337492017,-3.686735567058329
40,-2.875011836323841,-3.6664424737899672
41,-2.790128819057336,-3.645068970016
42,-2.9995662660598903,-3.6296998580170454
43,-5.675264608446868,-3.677271131282855
44,-3.7901288190573355,-3.6798360787322753
45,-3.831522977346021,-3.68320689870147
46,-4.587732279977428,-3.702870493946599
47,-5.020939091499472,-3.73091450666049
48,-3.342019556121267,-3.722812528524256
49,-3.8067029929815055,-3.724524578819302
50,-2.9754233490240654,-3.7095425542233973
51,-4.640753154036703,-3.7278015855922852
52,-3.831522977346021,-3.729796227741396
53,-1.8609876294846954,-3.694535688151647
54,-4.871964552686077,-3.7163399263837658
55,-3.894549057751184,-3.7195800924086284
56,-5.293002624486127,-3.7476769233385836
57,-4.209321518763586,-3.7557759513284954
58,-1.4849241509140088,-3.71662333407997
59,-6.2326952884944395,-3.759268621442927
60,-3.831522977346021,-3.7604728607079787
61,-2.8506587133933308,-3.745557874686427
62,-3.004773657994299,-3.7336097421591345
63,-1.2381653295903652,-3.693999513388202
64,-2.491478160776304,-3.675210117253641
65,-5.625106533678079,-3.705208523660171
66,-2.7356421260128565,-3.6905181236958176
67,-4.677759019071328,-3.7052530624327655
68,-5.831522977346021,-3.7365217376520783
69,-3.3200881792628154,-3.7304864686899153
70,-2.9209683587997093,-3.7189219242629123
71,-3.9199718139984507,-3.721753612850736
72,-3.82043974251421,-3.7231242535405067
73,-3.039862697457285,-3.713764506196901
74,-1.8147926205848797,-3.6881027239589006
75,-2.011589807885331,-3.665749218411253
76,-2.157635832448198,-3.6459056212275285
77,-2.4088430386704487,-3.629839873402112
78,-5.0763618175138046,-3.6483850265317495
79,-4.594514978478281,-3.6603613550374017
80,-2.856591601405504,-3.6503142331170024
81,-3.1743060396292875,-3.644437588752957
82,-3.645372352648776,-3.644448988312662
83,-4.040439742514209,-3.649219961254849
84,-2.6945705600235645,-3.6378550874306677
85,-3.2236999223323517,-3.632982673723628
86,-3.039862697457285,-3.626085929813555
87,-4.012408048651013,-3.6305264139381235
88,-2.875011836323841,-3.6219410210106884
89,-2.8073620460798265,-3.6127884482586565
90,-4.82043974251421,-3.6262067959726063
91,-4.069601485195491,-3.631079265084946
92,-2.428008104237616,-3.6180024046409534
93,-5.754875389197528,-3.6409795335071533
94,-3.268527473725598,-3.6370172775520304
95,-7.164686099762268,-3.674150633575296
96,-2.8975023889442566,-3.6660605476937227
97,-2.749353689810729,-3.6566099615299805
98,-3.431661757395541,-3.6543145716918737
99,-3.7408183762029408,-3.6551883474950158
