benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,grad_value,abs_grad,is_near_zero
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,0,RX,0,0,layer_000_wire_000_RX,-0.022713101956709326,0.022713101956709326,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,0,RY,1,1,layer_000_wire_000_RY,0.15629643252321618,0.15629643252321618,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,0,RZ,2,2,layer_000_wire_000_RZ,4.124790050931998e-17,4.124790050931998e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,1,RX,0,3,layer_000_wire_001_RX,-0.0006312336823302134,0.0006312336823302134,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,1,RY,1,4,layer_000_wire_001_RY,0.014424271664832818,0.014424271664832818,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,1,RZ,2,5,layer_000_wire_001_RZ,-2.6452784268697204e-20,2.6452784268697204e-20,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,2,RX,0,6,layer_000_wire_002_RX,-0.0006875228191072016,0.0006875228191072016,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,2,RY,1,7,layer_000_wire_002_RY,-0.006698739251857419,0.006698739251857419,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,2,RZ,2,8,layer_000_wire_002_RZ,1.1446802883903687e-18,1.1446802883903687e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,3,RX,0,9,layer_000_wire_003_RX,0.00014922796131764272,0.00014922796131764272,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,3,RY,1,10,layer_000_wire_003_RY,0.0007862902833360164,0.0007862902833360164,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,3,RZ,2,11,layer_000_wire_003_RZ,-3.751536125353818e-18,3.751536125353818e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,4,RX,0,12,layer_000_wire_004_RX,0.00019050501466255643,0.00019050501466255643,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,4,RY,1,13,layer_000_wire_004_RY,-3.2653708707886756e-05,3.2653708707886756e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,4,RZ,2,14,layer_000_wire_004_RZ,4.0073943214276596e-18,4.0073943214276596e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,5,RX,0,15,layer_000_wire_005_RX,-6.865492532277286e-05,6.865492532277286e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,5,RY,1,16,layer_000_wire_005_RY,4.019330333193249e-05,4.019330333193249e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0,5,RZ,2,17,layer_000_wire_005_RZ,-1.0932097270216221e-17,1.0932097270216221e-17,True
