benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,0,0,0.011262157060818446,0.0013385325462499488,0.15874176480376465,0.15629643252321618,2.6452784268697204e-20,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,1,0,0.012374812170482651,0.0006221538565804752,0.10588532306657959,0.08290934618790657,1.645604013661975e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,5,5,5,2,0,0.0007980679221672427,1.9178985814256283e-06,0.006067810719189489,0.003405020571422151,4.284901454240974e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0.004836750462744997,0.0001454628336254282,0.0523789383002023,0.048465790335316464,2.9035660261946396e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,0,0.010301602421839232,0.0005308401161637153,0.09794158302651415,0.08300128183470303,4.292475570129308e-18,0.3888888888888889
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,0,0.006257626337021278,0.00015076667246635922,0.05765431926649673,0.05294241482752056,2.4294182041975482e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,5,5,5,6,0,0.019350546613919908,0.0014898466186404296,0.16881512521740186,0.09947685263734965,2.0653407087452978e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,5,5,5,7,0,0.013742261219803289,0.0026675971657142135,0.2259881515642333,0.22557854488154183,4.336808689942018e-19,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,5,5,5,8,0,0.05802861308513758,0.010532523768179975,0.4897092397036512,0.3432258396270238,0.0,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,5,6,6,9,0,0.00528896758145592,0.00017480284176447157,0.056098205923497804,0.03980072371304663,1.398682775066484e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,5,6,6,10,0,0.021059390691117095,0.0020298761120946824,0.21036451185615226,0.17476805812518265,3.2927257337413637e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,5,6,6,11,0,0.004215215328055522,0.0001318415033205572,0.04980946963965454,0.04739035038233298,3.2526065174565133e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,5,5,5,12,0,0.05147278141649814,0.006956631787279558,0.36005913803486034,0.18340992797045821,0.0,0.4444444444444444
