benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,-0.005514011127707316,0.00025984113389148196,0.011679809952707336,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,0.0385326496498402,0.010786722308438548,0.06566497203230391,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,1.3258507920170085e-17,6.06984290641489e-34,1.668791038620933e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,0.004411900912409832,3.85396626332225e-05,0.004832723367296641,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,0.033382930158177004,0.0018733422087101753,0.03338293015817701,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,1.0453205689407425e-17,1.991229643292003e-34,1.0470840878919889e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,-0.013470934053099673,0.0006639457151977439,0.015740947767381108,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,2,RY,1,7,layer_000_wire_002_RY,3,-0.006964111643648695,5.7849568222539714e-05,0.007301191395296735,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,2,RZ,2,8,layer_000_wire_002_RZ,3,-4.00855830624128e-18,8.76626670402524e-35,5.868747840942842e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,3,RX,0,9,layer_000_wire_003_RX,3,0.00033911121601852936,1.5113717231567317e-07,0.0003391112160185294,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,3,RY,1,10,layer_000_wire_003_RY,3,-0.00672630200991065,0.00015673053752060875,0.007392664926013713,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,3,RZ,2,11,layer_000_wire_003_RZ,3,-6.347693135425064e-18,1.243008256213078e-35,6.347693135425063e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,4,RX,0,12,layer_000_wire_004_RX,3,6.559608176604054e-05,1.2853578338626142e-08,8.612807894433626e-05,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,4,RY,1,13,layer_000_wire_004_RY,3,5.7617617217338255e-05,6.523875005886752e-09,7.938675635592943e-05,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,4,RZ,2,14,layer_000_wire_004_RZ,3,-2.072101244812044e-18,1.1601911937916226e-34,7.600298428591133e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,5,RX,0,15,layer_000_wire_005_RX,3,-7.460471407034946e-05,4.493415893326393e-09,7.460471407034947e-05,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,5,RY,1,16,layer_000_wire_005_RY,3,3.5752556244390507e-05,5.702235169171923e-11,3.5752556244390507e-05,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,6,1,1,same_entangling_gate_count,0,5,RZ,2,17,layer_000_wire_005_RZ,3,-1.7193572244807256e-18,1.0089398333704685e-34,7.7122315321743e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,-0.020836912210547332,0.0007781751938127126,0.020836912210547332,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,0.015692506462179984,0.00094038225160831,0.023895953903439404,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,-8.37656548777028e-18,3.1648390401377536e-33,3.831063661690286e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,0.0031071989727840164,5.117317893582112e-05,0.004464758998370175,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,0.03230886788078943,0.001999227076233228,0.033321451237272086,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,1.3299245574380459e-17,5.386476370489637e-34,2.1725453434448427e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,-0.018388933331443116,0.00048174499152462617,0.018388933331443112,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,2,RY,1,7,layer_000_wire_002_RY,3,-0.008775029027877636,4.357720040809395e-05,0.008775029027877636,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,2,RZ,2,8,layer_000_wire_002_RZ,3,-5.465835837012317e-18,1.267932948252548e-34,8.327486217098523e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,3,RX,0,9,layer_000_wire_003_RX,3,-0.0026216993788897415,2.398341354663003e-05,0.002894713463198919,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,3,RY,1,10,layer_000_wire_003_RY,3,-0.006652181983217837,0.00012731059553760057,0.007826555467913427,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,3,RZ,2,11,layer_000_wire_003_RZ,3,3.3931940749884386e-19,7.430986307002764e-35,6.692334980911737e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,4,RX,0,12,layer_000_wire_004_RX,3,0.0011615664048809297,1.7647456846808274e-06,0.0011615664048809297,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,4,RY,1,13,layer_000_wire_004_RY,3,-0.0034967003061526472,3.788524210454414e-05,0.003653536743094686,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,4,RZ,2,14,layer_000_wire_004_RZ,3,-8.308427216724702e-19,5.464673730030709e-35,5.789723745018584e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,5,RX,0,15,layer_000_wire_005_RX,3,-0.0025551823197724416,1.3397690419700685e-05,0.0025555646748278873,0.3333333333333333
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,5,RY,1,16,layer_000_wire_005_RY,3,0.0005994753908269235,4.0319884558141353e-07,0.0006008998667673539,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,same_entangling_gate_count,0,5,RZ,2,17,layer_000_wire_005_RZ,3,-3.3540600676787787e-18,2.5978036833415837e-35,4.973672203810478e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,3.599551212651875e-17,3.0414270635435538e-33,4.2645285451096506e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,2.721347452938616e-17,2.3940000399411625e-33,3.183940379865765e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,2.8809198054756364e-17,1.3348522104151942e-33,2.914841204516184e-17,1.0
