benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,hilbert_dim,n_params,n_entangling_gates,objective_value,mean_abs_grad,spatial_grad_variance,log10_spatial_grad_variance,grad_norm,normalized_grad_norm,max_abs_grad,min_abs_grad,near_zero_ratio,target_grad
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,0,0,256,24,7,0.014653711163164329,0.006341284515013511,0.0005715533780101064,-3.242943204126574,0.11909642870011115,0.024310456708585868,0.11725961014135769,1.6946802267990414e-18,0.3333333333333333,-0.017040244857470015
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,1,1,256,24,7,-0.09321414318253948,0.006960119301365193,0.0002625108291816404,-3.580852776232033,0.07940825520002288,0.01620914221706375,0.062183743995903144,1.8870519761552205e-19,0.4166666666666667,0.006936470853393975
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,1,1,7,7,7,2,2,256,24,7,-0.00017531620772551215,0.000457207718421851,8.473606514253299e-07,-6.071931707039795,0.004614518684727106,0.0009419346821766975,0.0025698283117134933,3.708000004289949e-19,0.3333333333333333,-0.002398604040789772
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,8,1,1,7,8,8,3,0,256,24,8,0.004517514483342054,0.0024658243325534446,5.9809948702539165e-05,-4.223226570070985,0.03862409595441628,0.007884110572051328,0.0363866285004329,4.49921643202522e-18,0.3333333333333333,-0.005287729154460873
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,8,1,1,7,8,8,4,1,256,24,8,0.025451734753608138,0.005841812057015121,0.0002256539940619714,-3.6465569750898874,0.07368247092234502,0.015040371395600327,0.062183453486548856,3.850780332569224e-19,0.4166666666666667,-0.001893983413299295
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,8,1,1,7,8,8,5,2,256,24,8,-0.0018774023728426736,0.0025347071916929473,6.577606532928647e-05,-4.181932109218941,0.04106235032701769,0.00838181716171661,0.039797192913495615,1.1753025523729606e-18,0.3333333333333333,-0.039797192913495615
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,8,1,1,7,7,7,6,0,256,24,7,-0.014190765922717369,0.006602161991532046,0.00017295613434750173,-3.762064029972114,0.06454427684962136,0.013175045341542105,0.033795995949294375,0.0,0.6666666666666666,-1.734723475976807e-18
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,8,1,1,7,7,7,7,1,256,24,7,0.000941651075947526,0.0021553198468102267,7.28485899918254e-05,-4.137578849723721,0.04300682036503705,0.008778730446156414,0.04265284562932819,3.2087305072349086e-19,0.6666666666666666,2.6359665318553827e-18
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,8,1,1,7,7,7,8,2,256,24,7,-0.17454244083596304,0.040092556897644654,0.006189824593198207,-2.208321657811136,0.4047576695473485,0.0826208133224211,0.2654719146047808,1.5930444717310537e-18,0.6666666666666666,-1.3877787807814457e-17
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,8,1,1,7,8,8,9,0,256,24,8,0.0013516138810505725,0.0012820741151715355,1.0405915408509036e-05,-4.982719708880792,0.015824710915451578,0.00323020558915897,0.010815670855587675,0.0,0.6666666666666666,-0.0015717405119703267
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,8,1,1,7,8,8,10,1,256,24,8,0.0009590007143109609,0.0010001055622751254,7.18365081738165e-06,-5.1436547859969215,0.013607081008731864,0.0027775337800090404,0.01237073349644838,3.748510743660792e-18,0.6666666666666666,-7.136342486327617e-05
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,8,1,1,7,8,8,11,2,256,24,8,-0.001033783655203499,0.001081968058516668,9.264821443937034e-06,-5.033162946195068,0.015095292934141373,0.0030813137672072236,0.014143801562009395,2.327707963650355e-18,0.6666666666666666,-0.014143801562009395
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,8,1,1,7,7,7,12,0,256,24,7,0.24166680143127162,0.039154796470586874,0.0034038257421270257,-2.468032681598559,0.30211026274538927,0.061667999148696834,0.1310070914074701,0.0,0.4166666666666667,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,8,1,1,7,7,7,13,1,256,24,7,-0.1882738701293008,0.035250315434973,0.0035866760737567234,-2.4453078443255527,0.2936090808261048,0.05993270265596174,0.14068649048466672,0.0,0.4166666666666667,-8.673617379884035e-19
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,8,1,1,7,7,7,14,2,256,24,7,-0.1566990395381472,0.03820260359691263,0.0033940002079420133,-2.4692881354101917,0.2873813838367434,0.05866147933124487,0.1242680130890594,2.0933992817358888e-19,0.4166666666666667,1.3877787807814457e-17
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,8,1,1,7,8,8,15,0,256,24,8,0.1866504776475154,0.03345507538568274,0.0028676706339883953,-2.5424707309873544,0.2721230157558,0.05554687798908811,0.1201961483906112,1.1624216690441995e-18,0.4166666666666667,8.27475629723573e-06
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,8,1,1,7,8,8,16,1,256,24,8,-0.13695234469226644,0.029310473243635598,0.002911087172653421,-2.5359447893961224,0.2649249548781393,0.05407757996510821,0.14067022495289633,1.2516568114767562e-19,0.5,2.6721880421083644e-08
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,8,1,1,7,8,8,17,2,256,24,8,-0.059951857511558,0.032665155871911815,0.00291325642441358,-2.5356212871517387,0.2713570061671198,0.055390516936559296,0.12417549970158322,4.897145118572361e-18,0.4166666666666667,-0.0005205495020245456
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,2,2,14,14,7,18,0,256,48,14,-0.04051687783867991,0.019444092987050538,0.0009070189514615721,-3.042383638596797,0.2152393695145359,0.03106712698235566,0.10080076065984388,1.6838190056702191e-18,0.16666666666666666,-0.018042627605629677
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,2,2,14,14,7,19,1,256,48,14,0.03759076613217501,0.009665623770254256,0.00034302333167103463,-3.464676339224371,0.1286964112184258,0.018575726915174225,0.06758031942445902,1.2943238706495781e-18,0.16666666666666666,0.05655424108698768
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,8,2,2,14,14,7,20,2,256,48,14,0.054720379219952264,0.017780219310234137,0.0013971310598201152,-2.8547628523776365,0.26297257274516517,0.03795682141597739,0.16010773245089624,1.4188046467389423e-18,0.16666666666666666,-0.012986821931103166
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,8,2,2,14,16,8,21,0,256,48,16,-0.04761672673792162,0.0142053914464286,0.00041176909857905164,-3.3853462483448826,0.15342637564343237,0.02214518981963108,0.060206041711332176,6.1939176652720675e-19,0.16666666666666666,0.051530624425539934
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,8,2,2,14,16,8,22,1,256,48,16,0.009105336813059924,0.005698091859709003,0.00010036130498941065,-3.998433700226944,0.0697661119788795,0.010069870882829913,0.03355609936618548,2.3473981517340904e-18,0.16666666666666666,-0.007052918833552122
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,8,2,2,14,16,8,23,2,256,48,16,0.07686713119422417,0.012626975601799444,0.0006013253576379207,-3.2208904817523396,0.16997021621884706,0.024533087522042564,0.10505133183026549,9.594063584380595e-20,0.16666666666666666,0.02994800614620139
random_bp,expectation_value,same_entangling_gate_count,bcw_8q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,8,2,2,14,14,7,24,0,256,48,14,-0.004267527515592351,0.005391830688834513,0.00012166594031193653,-3.9148309830258685,0.07763551153067683,0.01120572087022764,0.04871801924266958,6.505213034913027e-19,0.3541666666666667,0.0005938242416601745
