benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_spatial_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,1,1,11,11,11,0,0,0.032352021101531514,0.0267612408897472,0.9900401886677853,0.9708902735385909,2.824626960489991e-19,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,1,1,11,11,11,1,0,0.015537261338383216,0.008420512200754885,0.5583621268883486,0.558361266623865,0.0,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,1,1,11,11,11,2,0,0.022611219153923223,0.00920306042374935,0.5755959565577359,0.40918587603011797,3.469446951953614e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,1,1,11,11,11,3,0,0.04427637334102719,0.06135629625105004,1.5097685138928498,1.5072787242320114,8.673617379884035e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,1,1,11,11,11,4,0,0.00923746733761326,0.0023924706985253463,0.29655141925149525,0.29404057355367236,4.336808689942018e-19,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,5,0,0.013715547349465907,0.0038988232695757064,0.3794527175043615,0.3752894307013904,5.411309740504701e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,5,1,0.02342233951241992,0.017093141512292978,0.7969334413983452,0.7955046584485582,1.5147082719325988e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,6,0,0.059099602697414606,0.06256799935375217,1.5360602776070362,1.471199485734618,1.1433865413386372e-17,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,6,1,0.07272162619843972,0.09936308780616607,1.940993255534912,1.7216325750746553,1.9081958235744878e-17,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,7,0,0.022535479160927338,0.004111566247175836,0.3863099539068187,0.24827653232213112,2.0599841277224584e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,7,1,0.01571232925366022,0.008390180484597259,0.5576146338702175,0.5575559757965355,2.9363259392788878e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,8,0,0.010482010236269237,0.0009704878617601204,0.19320956538873296,0.1286815774503684,8.673617379884035e-19,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,bcw_12q_task_aware,breast_cancer,binary_subset,0,42,16,"{0: 6, 1: 10}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,8,1,0.002619780616920499,0.00020157953865996656,0.08662528735344731,0.08624923527722167,8.673617379884035e-19,0.9444444444444444
