benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_spatial_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,1,1,8,8,8,0,0,0.006392447644194744,0.00011373899234736583,0.052890835386959406,0.034778109431805405,6.355335137301673e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,1,1,8,8,8,1,0,0.0005221597088179179,1.0354721079101771e-06,0.005207783429515613,0.004104038640875401,9.785671345090436e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,1,1,8,8,8,2,0,0.002830338455419927,2.5254895711225828e-05,0.02699105807960205,0.016306414040828925,1.7747025737186943e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,1,1,8,8,8,3,0,0.005402819635030396,8.864550447381086e-05,0.04713089107380299,0.0296667054138209,7.914055212111053e-20,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,1,1,8,8,8,4,0,0.002148733445743125,1.5931489195259832e-05,0.019563867043864782,0.011341466178810936,1.600044802789892e-18,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,2,2,16,16,8,5,0,0.00717888709312155,8.38088068319823e-05,0.04493716321760138,0.02025572265406391,0.00034316012002069923,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,2,2,16,16,8,5,1,0.004756007611926309,9.803074178863076e-05,0.04856310180925578,0.04144074112102286,5.537885238977904e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,2,2,16,16,8,6,0,0.0093390830598409,0.0001741040774883251,0.06794953378895485,0.035433795840230306,0.00022242084144137567,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,2,2,16,16,8,6,1,0.009261721200941675,0.0002518494641682004,0.08121997438535371,0.05790456715743974,2.846030702774449e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,2,2,16,16,8,7,0,0.00604725496643319,3.8180681438053524e-05,0.03369256589047131,0.012982650742975497,7.794320648720857e-05,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,2,2,16,16,8,7,1,0.004857722617246609,7.340515810378199e-05,0.04299284390724022,0.026477104628777254,1.2112792751427473e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,2,2,16,16,8,8,0,0.006135593231062765,6.751086550533019e-05,0.041444128215716976,0.020523857733640544,7.768407478704782e-05,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,2,2,16,16,8,8,1,0.008141098766157059,0.00017600044944512415,0.06528441197970924,0.03245157342460935,3.363656456213509e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,2,2,16,16,8,9,0,0.003972316508124755,5.7313469218773866e-05,0.037093742941934266,0.03237666223008989,5.231934969924883e-05,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,2,2,16,16,8,9,1,0.002862418257723111,1.8544463962604827e-05,0.02299120118731714,0.016333283845813392,6.256690365489847e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,10,0,0.006466447914257561,7.744029751221086e-05,0.043226967679831814,0.023873909464794695,0.000561125282435872,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,10,1,0.006901047062233631,6.908658809405014e-05,0.040731021953306516,0.01656155141518076,0.0009319396025009299,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,10,2,0.004965786091403136,4.214220921353499e-05,0.03197176773970527,0.0164405734463586,1.2886241117091067e-05,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,10,3,0.0045144829432933594,7.950568173991801e-05,0.04397959578950139,0.031134344050667957,1.4891309586787697e-18,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,11,0,0.009528030641604887,0.000135836583205237,0.05942187945968359,0.028918772375430286,0.000659496494300818,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,11,1,0.007675522151650106,9.33849466134047e-05,0.04753516333722768,0.022271198080164662,0.00046270938531456753,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,11,2,0.00890451500437551,0.00010886928750862143,0.052024122422742874,0.0265823100540458,0.0010167657421697532,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,11,3,0.004794269089276733,5.419715421265466e-05,0.03689936668447111,0.018296239634356237,1.4895767159125179e-18,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,12,0,0.006718092323376508,6.106326100899971e-05,0.04210332659513358,0.022340420219922386,0.0009266674156401097,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,12,1,0.010599945316090384,0.0001873277248121217,0.06746679336212764,0.03218541114969116,0.00021020216975723718,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,12,2,0.009596381238589812,0.0001513619940142551,0.060275279957693155,0.03133031637050117,0.0023674336932130837,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,12,3,0.006637126698022826,0.00010116479679622436,0.05017640248496891,0.027953440578729116,2.0789741756101005e-18,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,13,0,0.006163104391883291,3.698744868520104e-05,0.03503042697384294,0.016796128979862258,5.5340330656275874e-05,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,13,1,0.009784513008370454,0.00014741951394295715,0.060413626249247766,0.028720272741782828,0.0007860151757024289,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,13,2,0.009495138997936572,0.00014072493946987142,0.0581659442283004,0.02690951601215634,0.00047789459343279463,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,13,3,0.005559584903514041,8.021619125388018e-05,0.04516263830779136,0.0287256642326063,3.543591266573658e-19,0.4166666666666667
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,14,0,0.004751124340310012,2.871070326996203e-05,0.02630655613938882,0.010392666185623817,0.0008150999425317156,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,14,1,0.006444791378902187,6.026874889232596e-05,0.03985696499160333,0.01732166485124137,7.798477981540292e-05,0.0
task_aware_bp,supervised_loss,same_depth,heart_8q_task_aware,heart_disease,binary_subset,0,42,16,"{0: 9, 1: 7}",hea,RX_RY_RZ_CNOT,angle,ry_angle,circular,cnot,binary_cross_entropy,single_qubit_z,8,4,4,32,32,8,14,2,0.009865441020400293,0.0001647426749217791,0.06355820873895918,0.02699359929760528,0.00048793308247904927,0.0
