benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_spatial_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,1,1,7,7,7,0,0,0.05758943755529721,0.042286232997217565,1.0100976832885225,0.8715349560464866,1.2082638128697192e-18,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,1,1,7,7,7,1,0,0.013379835954051579,0.003528160779263471,0.2982823141691427,0.2973326197696735,2.981555974335137e-19,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,1,1,7,7,7,2,0,0.04023520802506974,0.017947706399144295,0.6852721216678512,0.5238270988889331,4.1523586760627614e-18,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,1,1,7,7,7,3,0,0.01465768481480735,0.004608660212419783,0.3391725220199879,0.33892880131630965,4.564917239607249e-19,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,1,1,7,7,7,4,0,0.004614916462299741,0.00044015896838153805,0.10472132549821794,0.10453634326190214,8.984997279206557e-16,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,2,2,14,14,7,5,0,0.04275737510557409,0.01243631584417128,0.5482685618682944,0.41802635438140134,1.3943562596043529e-18,0.75
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,2,2,14,14,7,5,1,0.019432731360613013,0.008185256174263347,0.45212589118974406,0.45189357607623637,9.824537940678685e-19,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,2,2,14,14,7,6,0,0.009485476339398667,0.0012738359649427915,0.18011217011605668,0.176729923845932,2.100641709190665e-18,0.75
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,2,2,14,14,7,6,1,0.016607803206718997,0.006042415540240135,0.38856142218461825,0.3884286036938834,1.7618285302889447e-19,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,2,2,14,14,7,7,0,0.0237013260013282,0.004652467638635862,0.35375315098041227,0.2564213063068177,3.3962676515740276e-19,0.75
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,2,2,14,14,7,7,1,0.0028345632342315,9.294512938321777e-05,0.04922922988113659,0.041414402071740075,5.707525417301774e-19,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,2,2,14,14,7,8,0,0.030111472210891468,0.007642402583925474,0.43322271572034055,0.40030259510957317,5.286843406002109e-18,0.75
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,2,2,14,14,7,8,1,0.008840249700393791,0.000957877207638824,0.1517657979039269,0.12229492351111332,1.1384122811097797e-18,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,2,2,14,14,7,9,0,0.007702356068494662,0.0007585864747387065,0.13957953975508683,0.13640956773975613,6.212772301978145e-17,0.75
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,2,2,14,14,7,9,1,0.06061743504517169,0.08125170194198907,1.4276653000485318,1.4274020278991972,7.455492013983558e-17,0.9166666666666666
task_aware_bp,supervised_loss,same_depth,parkinsons_8q_task_aware,parkinsons,binary_subset,0,42,16,"{0: 4, 1: 12}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,8,4,4,28,28,7,10,0,0.027720367257372185,0.002997836949067946,0.2728508794457125,0.16231927367381163,4.0848908743544585e-19,0.5
