epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6985487392842807,0.6999173636515787,0.38333333333333336,0.0,0.3572267920094007,0.010022429526505342,1.992468049159805e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.6980379416929312,0.6993720039392227,0.45,0.35294117647058826,0.3701527614571093,0.01013624691680348,2.039667805912448e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6975202502697345,0.6988328782959267,0.4666666666666667,0.38461538461538464,0.3748531139835488,0.010236941482548886,2.082496252431314e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6969979390101766,0.6982891525792808,0.4666666666666667,0.38461538461538464,0.38190364277320804,0.010309066122621896,2.114590537215765e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.696472976923402,0.6977452089199419,0.48333333333333334,0.41509433962264153,0.3854289071680376,0.010353770682449276,2.135899531871962e-06,0.1875,2,16,1.0,keep,none,0,0
5,0.6959468227195651,0.6972063582857294,0.48333333333333334,0.41509433962264153,0.3948296122209166,0.01037111682287662,2.1460481859093005e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
6,0.6954214752994285,0.6966765826958754,0.4666666666666667,0.38461538461538464,0.408930669800235,0.010356788545240301,2.1430525100361465e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.6948995308781458,0.6961587614903012,0.45,0.35294117647058826,0.41245593419506466,0.010305098052636463,2.1245639684405356e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
8,0.6943840561265441,0.6956536988901789,0.43333333333333335,0.2916666666666667,0.4195064629847239,0.010209673653069296,2.0882914568541674e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
9,0.6938784475140914,0.6951622760115194,0.43333333333333335,0.2916666666666667,0.4300822561692127,0.010066815329446156,2.033320491352912e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.69338603532371,0.694686395405799,0.45,0.37735849056603776,0.44770857814336074,0.00987694982139323,1.9606222282306687e-06,0.16666666666666666,2,16,1.0,propose_prune_layer,in_progress,0,0
11,0.692540018825205,0.6942284089272552,0.5333333333333333,0.5882352941176471,0.45240893066980026,0.008505646419905248,1.4268917212197432e-06,0.16666666666666666,2,16,1.0,keep,in_progress,0,0
12,0.6902470316395478,0.6909846494262512,0.6666666666666666,0.7872340425531915,0.49236192714453586,0.009689691475521059,1.939848145100099e-06,0.16666666666666666,2,16,1.0,keep,in_progress,0,0
13,0.6819705471325028,0.6888621706484888,0.5333333333333333,0.44,0.5534665099882491,0.011684080120396937,2.829395890328213e-06,0.16666666666666666,2,16,1.0,keep,in_progress,0,0
14,0.6930972338149792,0.6827869483297709,0.6,0.6923076923076923,0.535840188014101,0.009284467908505501,1.7644265642519796e-06,0.1875,2,16,1.0,keep,in_progress,0,0
15,0.6949622353815073,0.6955972266032001,0.6,0.7391304347826086,0.34430082256169214,0.01826894611271662,1.3593279386239887e-05,0.3333333333333333,1,8,1.0,keep,committed,1,0
16,0.6946190139403242,0.6877024471234022,0.6166666666666667,0.7088607594936709,0.518213866039953,0.018402943952386636,1.3800365011409754e-05,0.3333333333333333,1,8,1.0,keep,none,1,0
17,0.6942722288519989,0.6873992936349185,0.6166666666666667,0.7088607594936709,0.5146886016451234,0.01853103868014116,1.4000435191243185e-05,0.3333333333333333,1,8,1.0,keep,none,1,0
18,0.6939222352710329,0.6870964329109815,0.6,0.6842105263157895,0.5146886016451234,0.018653293062976573,1.419335761920302e-05,0.3333333333333333,1,8,1.0,keep,none,1,0
19,0.6935693443978694,0.6867944280030506,0.6,0.6842105263157895,0.5158636897767332,0.01876996702457882,1.437930027723525e-05,0.3333333333333333,1,8,1.0,keep,none,1,0
