epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6985487392842807,0.6999173636515787,0.38333333333333336,0.0,0.3572267920094007,0.010022429526505342,1.992468049159805e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.6980379416929312,0.6993720039392227,0.45,0.35294117647058826,0.3701527614571093,0.01013624691680348,2.039667805912448e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6975202502697345,0.6988328782959267,0.4666666666666667,0.38461538461538464,0.3748531139835488,0.010236941482548886,2.082496252431314e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6969979390101766,0.6982891525792808,0.4666666666666667,0.38461538461538464,0.38190364277320804,0.010309066122621896,2.114590537215765e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.696472976923402,0.6977452089199419,0.48333333333333334,0.41509433962264153,0.3854289071680376,0.010353770682449276,2.135899531871962e-06,0.1875,2,16,1.0,keep,none,0,0
5,0.6959468227195651,0.6972063582857294,0.48333333333333334,0.41509433962264153,0.3948296122209166,0.01037111682287662,2.1460481859093005e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
6,0.6954214752994285,0.6966765826958754,0.4666666666666667,0.38461538461538464,0.408930669800235,0.010356788545240301,2.1430525100361465e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.6948995308781458,0.6961587614903012,0.45,0.35294117647058826,0.41245593419506466,0.010305098052636463,2.1245639684405356e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
8,0.6943840561265441,0.6956536988901789,0.43333333333333335,0.2916666666666667,0.4195064629847239,0.010209673653069296,2.0882914568541674e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
9,0.6938784475140914,0.6951622760115194,0.43333333333333335,0.2916666666666667,0.4300822561692127,0.010066815329446156,2.033320491352912e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.69338603532371,0.694686395405799,0.45,0.37735849056603776,0.44770857814336074,0.00987694982139323,1.9606222282306687e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
11,0.6929097746381,0.6942284089272552,0.5333333333333333,0.5882352941176471,0.45240893066980026,0.009644107500813924,1.872751730550774e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
12,0.692452019409996,0.6937905590222049,0.55,0.5970149253731343,0.464159811985899,0.009375491626636557,1.7735117418670055e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
13,0.6920143127610866,0.6933745580994324,0.5333333333333333,0.5757575757575758,0.47003525264394835,0.00908120526918584,1.6676229360064393e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
14,0.691597219337377,0.6929812470768328,0.5166666666666667,0.5245901639344263,0.4782608695652174,0.008773733974287826,1.560293924905511e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
15,0.6912002946699366,0.6926104075539942,0.5333333333333333,0.5625,0.48061104582843717,0.008466988925405415,1.4566895826023047e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
16,0.6908222391594232,0.6922608197060891,0.55,0.5846153846153846,0.49001175088131615,0.008175127605932548,1.3614401143598552e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
17,0.69046116320388,0.6919305160764346,0.55,0.5846153846153846,0.4994124559341951,0.007911458617786915,1.2783188397142078e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
18,0.690114863982154,0.6916170822471793,0.5333333333333333,0.5333333333333333,0.5029377203290246,0.0076874435179535485,1.2100745016424338e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
19,0.6897810679758036,0.6913179276301469,0.55,0.5573770491803278,0.5123384253819037,0.007511790733612785,1.1583773704851981e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
