epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6985487392842807,0.6999173636515787,0.38333333333333336,0.0,0.3572267920094007,0.010022429526505342,1.992468049159805e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.6980379416929312,0.6993720039392227,0.45,0.35294117647058826,0.3701527614571093,0.01013624691680348,2.039667805912448e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6975202502697345,0.6988328782959267,0.4666666666666667,0.38461538461538464,0.3748531139835488,0.010236941482548886,2.082496252431314e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6969979390101766,0.6982891525792808,0.4666666666666667,0.38461538461538464,0.38190364277320804,0.010309066122621896,2.114590537215765e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.696472976923402,0.6977452089199419,0.48333333333333334,0.41509433962264153,0.3854289071680376,0.010353770682449276,2.135899531871962e-06,0.1875,2,16,1.0,keep,none,0,0
5,0.6959468227195651,0.6972063582857294,0.48333333333333334,0.41509433962264153,0.3948296122209166,0.01037111682287662,2.1460481859093005e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
6,0.6954214752994285,0.6966765826958754,0.4666666666666667,0.38461538461538464,0.408930669800235,0.010356788545240301,2.1430525100361465e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.6948995308781458,0.6961587614903012,0.45,0.35294117647058826,0.41245593419506466,0.010305098052636463,2.1245639684405356e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
8,0.6943840561265441,0.6956536988901789,0.43333333333333335,0.2916666666666667,0.4195064629847239,0.010209673653069296,2.0882914568541674e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
9,0.6938784475140914,0.6951622760115194,0.43333333333333335,0.2916666666666667,0.4300822561692127,0.010066815329446156,2.033320491352912e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.6917889173189867,0.694686395405799,0.45,0.37735849056603776,0.44770857814336074,0.016874744225477932,3.901649795412246e-06,0.1111111111111111,3,24,1.0,add_layer,committed,1,0
11,0.6907365720143781,0.6896979633435794,0.6166666666666667,0.6349206349206349,0.5981198589894242,0.016739716351880967,3.8502995346739574e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
12,0.6897063376768582,0.6889818436290007,0.6166666666666667,0.6229508196721312,0.5969447708578144,0.0164870915068313,3.745461827056411e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
13,0.6887032816442101,0.6883092589142343,0.6,0.6,0.6028202115158637,0.016185855452311725,3.61863636075514e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
14,0.6877303299746006,0.6876778340754405,0.6166666666666667,0.6461538461538462,0.6016451233842538,0.015854329005877632,3.4789941887431454e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
15,0.689746196522298,0.6870786724191721,0.6333333333333333,0.6764705882352942,0.5992949471210341,0.023666466301738614,5.831453184054918e-06,0.08333333333333333,4,32,1.0,add_layer,committed,2,0
16,0.6880035387644803,0.6927405797527947,0.5666666666666667,0.6904761904761905,0.41598119858989424,0.0229782917543101,5.496986702702723e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
17,0.6863217297349631,0.6910186389499322,0.6,0.7272727272727273,0.43948296122209163,0.02205530681926848,5.06407453617132e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
18,0.6847202407706088,0.6893541669737792,0.45,0.32653061224489793,0.4500587544065805,0.020957216572111095,4.572141007297661e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
19,0.6832155202191997,0.6877606773329891,0.48333333333333334,0.41509433962264153,0.472385428907168,0.019746660734126977,4.058949592889083e-06,0.09375,4,32,1.0,keep,none,2,0
