episode,return,return_ma100
1,-2.983401780545546,-2.983401780545546
2,-3.1627086406781753,-3.0730552106118605
3,-1.9310549972824007,-2.692388472835374
4,-1.0323481366946177,-2.277378388800185
5,-2.905294503402825,-2.402961611720713
6,-2.912862571140108,-2.4879451049572787
7,-7.338604720689007,-3.18089647863324
8,-3.007697422716253,-3.1592465966436167
9,-3.912862571140109,-3.242981704921005
10,-5.570855696079487,-3.4757691040368526
11,-2.6723129613765138,-3.4027276365222763
12,-5.63256682755282,-3.588547569108155
13,-2.833080736787779,-3.5304347358527415
14,-2.905294503402825,-3.485781862106319
15,-3.983401780545546,-3.518956523335601
16,-6.118362187275174,-3.6814193773318244
17,-6.552218946717605,-3.85028994023687
18,-7.8361197720171205,-4.071724930891328
19,-3.983401780545546,-4.067076344031024
20,-3.8764546611559334,-4.057545259887269
21,-3.6527595255123906,-4.038269748726561
22,-3.8330807367877777,-4.028942975456617
23,-4.778282307498937,-4.0615229464149785
24,-5.752696849082145,-4.131988525692777
25,-4.876454661155933,-4.161767171111303
26,-3.17724272279944,-4.123900846176231
27,-2.8939424017969007,-4.078346829717738
28,-2.714942882089012,-4.02965383158814
29,-8.348952955920451,-4.178595180703048
30,-2.213459967912163,-4.113090673610018
31,-6.913171832071422,-4.203415872270063
32,-3.990909749691796,-4.196775055939493
33,-3.8362627173031183,-4.185850439617178
34,-0.03234813669461756,-4.063688607178279
35,-2.7125049052293297,-4.025083358551167
36,-3.820099716111782,-4.019389368483406
37,-2.8977264356655414,-3.9890741540829233
38,-1.0115622942078895,-3.910718578823054
39,-1.6871983541679811,-3.853705239729334
40,-2.0444931007080402,-3.808474936253801
41,-2.905294503402825,-3.786446145208656
42,-2.7042666915356226,-3.7606799677402503
43,-3.7832027051065245,-3.761203752330164
44,-2.9499475290810726,-3.7427661108926844
45,-4.683744203664812,-3.7636767351765092
46,-2.659585039315156,-3.7396747417882192
47,-1.938623065019684,-3.701354493346335
48,-7.75723631729711,-3.78585203134531
49,-4.214728839688427,-3.7946046192706793
50,-3.099163667699084,-3.7806958002392475
51,-2.905294503402825,-3.76353106892873
52,-9.562347160176065,-3.875046762991178
53,-3.260818610600061,-3.8634575525687045
54,-1.983401780545545,-3.8286417049386454
55,-4.660029385691474,-3.843757844588697
56,-2.858136545166028,-3.826157464241864
57,-4.440418240216816,-3.83693396908353
58,-4.444241905305136,-3.847404795570109
59,-4.744704985907588,-3.862613273372439
60,-6.239036187139352,-3.902220321935221
61,-8.501116810650736,-3.9776120676518687
62,-2.1410165461437427,-3.947989559240448
63,-2.0066803995661604,-3.9171751281345064
64,-2.7519773973670003,-3.8989689135912644
65,-2.7093229247139905,-3.880666667608537
66,-1.938623065019684,-3.851241764539009
67,-4.833080736787778,-3.865896077557647
68,-1.9197028956764757,-3.8372755895888067
69,-3.9077218747289697,-3.8382965502430118
70,-2.07570206216254,-3.813116628984719
71,-4.708509050651352,-3.825727789853263
72,-2.3831040655018123,-3.8056913492372706
73,-3.85222926325839,-3.8063288549087937
74,-2.854352511297386,-3.7934643097248553
75,-2.687198354167981,-3.778714096984097
76,-1.6633173851065595,-3.7508799297225504
77,-2.9650836645556398,-3.740674783421681
78,-3.2367410938488246,-3.7342140950938245
79,-2.6073107607208423,-3.7199494959245456
80,-2.796070773450302,-3.708401011893618
81,-0.030528145408668578,-3.6629951740357796
82,-4.494791555614072,-3.6731390323477093
83,-5.9383436468037285,-3.7004306542086254
84,-1.9007827263332673,-3.679006274114871
85,-2.1063858255172025,-3.660504857072546
86,-2.876454661155934,-3.6513879943293293
87,-2.7558788295974854,-3.641094785539308
88,-2.2752325458907308,-3.6255736237251197
89,-4.383117701182971,-3.634085354932511
90,-6.132947621496158,-3.661850491227663
91,-2.0243964622027644,-3.6438564909087074
92,-2.901510469534183,-3.635787512415507
93,-5.194898946659487,-3.6525521514933987
94,-2.7960707734503014,-3.643440647471664
95,-2.850568477428745,-3.6350946246291067
96,-2.7558788295974854,-3.6259361267641936
97,-2.623541725166105,-3.615602163861121
98,-1.6871983541679811,-3.595924573966293
99,-2.3331063148981124,-3.5831688339757055
100,-0.6913101881990982,-3.554250247517939
101,-4.5943042599426995,-3.5703592723119106
102,-2.818546654666514,-3.566917652451794
103,-2.7362991549588314,-3.5749700940285583
104,-4.748162585492737,-3.612128238516539
105,-2.106385825517203,-3.6041391517376833
106,-2.8657046129033112,-3.6036675721553153
107,-2.27036455214608,-3.552985170469886
108,-2.3141812074189976,-3.546050008316913
109,-2.7102275100840063,-3.534023657706353
110,-2.8330807367877786,-3.5066459081134354
111,-4.134393519491436,-3.5212667136945845
112,-2.890158367928259,-3.493842629098339
113,-3.8327749158613504,-3.503839570889075
114,-2.836262717303118,-3.5031492530280777
115,-2.7053969405429936,-3.490369204628052
116,-1.7435429369093878,-3.4466210121243943
117,-3.6425461135080863,-3.4175242837922997
118,-1.7401404209711187,-3.3565644902818392
119,-5.918909235425752,-3.375919564830641
120,-1.961299630686997,-3.356768014525952
121,-6.640863612141647,-3.3866490553922444
122,-2.858136545166028,-3.3768996134760267
123,-3.278494147424192,-3.36190173187528
124,-2.4404395730480086,-3.328779159114938
125,-2.6908208384919763,-3.306922820888299
126,-1.927270963413759,-3.294423103294441
127,-3.867529614726832,-3.3041589754237406
128,-2.7093229247139905,-3.3041027758499903
129,-5.565714086578145,-3.276270387156568
130,-2.9348390311510437,-3.283484177788956
131,-4.99905670350689,-3.2643430265033113
132,-2.309668472399666,-3.2475306137303903
133,-3.7143483102367054,-3.2463114696597257
134,-1.7401404209711187,-3.2633893925024906
135,-5.021290828327809,-3.2864772517334755
136,-4.493939638103852,-3.293215650953396
137,-1.4591493158398534,-3.278829879755139
138,-1.864930626002683,-3.2873635630730877
139,-2.0968398839711844,-3.291459978371119
140,-1.7504006657859579,-3.2885190540218985
141,-2.9717209495244177,-3.289183318483115
142,-3.7250916026679852,-3.2993915675944385
143,-2.7846166998316333,-3.2894057075416896
144,-2.5223948083207777,-3.2851301803340864
145,-2.815340195923069,-3.266446140256669
146,-0.9464570426549818,-3.2493148602900668
147,-2.796070773450302,-3.2578893373743734
148,-2.3150791950973817,-3.203467766152376
149,-1.166748897898213,-3.172987966734474
150,-1.690882630568574,-3.158905156363169
151,-2.1995279391442013,-3.1518474907205825
152,-1.6903803346833206,-3.0731278224656546
153,-1.1856265686774667,-3.052375902046429
154,-2.912862571140108,-3.061670509952375
155,-1.4358192784707318,-3.0294284088801673
156,-1.919336328630413,-3.0200404067148114
157,-2.0243964622027644,-2.9958801889346707
158,-1.4997760262151307,-2.966435530143771
159,-3.951216729181496,-2.9585006475765097
160,-0.8186163052822474,-2.904296448757939
161,-2.1990221280241196,-2.841275501931672
162,-2.048277134576682,-2.840348107816002
163,-1.7665720849157194,-2.8379470246694973
164,-1.3792679594704171,-2.8242199302905315
165,-1.8120891985281502,-2.815247593028673
166,-0.8216626929721944,-2.804077989308199
167,-2.8977264356655414,-2.7847244462969756
168,-2.09105090030121,-2.7864379263432233
169,-2.594712159830652,-2.77330782919424
170,-0.7913481805563922,-2.7604642903781786
171,-1.3689243185546474,-2.727068443057212
172,-2.1788354945823096,-2.7250257573480168
173,-0.9433394747936813,-2.695936859463369
174,-2.0795222741775525,-2.6881885570921713
175,-2.5780054096383083,-2.6870966276468744
176,-2.0476315376401737,-2.69093976917221
177,-1.6985436859605973,-2.6782743693862603
178,-1.374621867654325,-2.659653177124315
179,-9.640489717278765,-2.7299849666898943
180,-1.8102483942596996,-2.7201267428979885
181,-3.7426938042788693,-2.75724839948669
182,-3.4370856591827352,-2.746671340522377
183,-3.0240660394668675,-2.717528564449008
184,-0.186548718593549,-2.7003862243716115
185,-2.22688425907475,-2.7015912087071867
186,-2.4336053375047793,-2.6971627154706748
187,-1.127016533886924,-2.68087409251357
188,-2.9673139976773943,-2.687794907031436
189,-1.6969573747065325,-2.6609333037666714
190,-6.449775711964966,-2.6641015846713594
191,-4.015090924391387,-2.684008529293246
192,-0.6916944392083134,-2.6619103689899872
193,-9.370989788530423,-2.7036712774086964
194,-2.4810453677510664,-2.7005210233517043
195,-0.7565866817837827,-2.6795812053952544
196,-3.397498963129628,-2.6859974067305763
197,-1.5898630973260197,-2.675660620452175
198,-2.007643298867319,-2.6788650698991687
199,-1.2603091809511602,-2.668137098559699
200,-0.49670758177320257,-2.6661910724954403
201,-4.4185357339312485,-2.664433387235326
202,-3.5212027802651145,-2.6714599484913117
203,-1.623611276252619,-2.6603330697042495
204,-1.3008564192724932,-2.6258600080420473
205,-2.890158367928259,-2.6336977334661578
