epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6956885370174566,0.6947270079588806,0.5393258426966292,0.6434782608695652,0.4287878787878788,0.007128792565139372,1.0565285046043314e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.6953167087581291,0.6942259335346443,0.550561797752809,0.6,0.4515151515151515,0.0073502127408513,1.124016300762009e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6949341425495845,0.6937025333444793,0.550561797752809,0.6491228070175439,0.4757575757575758,0.007601998212747041,1.2030337979112644e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6945400040010792,0.693153847218339,0.5842696629213483,0.6407766990291263,0.502020202020202,0.007885471988606106,1.2949599136162197e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.6941350376496337,0.6925885275375872,0.5955056179775281,0.6666666666666666,0.5318181818181817,0.008182981250500238,1.3948648531549287e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
5,0.6937209059746214,0.6920130645199118,0.6067415730337079,0.6788990825688074,0.5565656565656566,0.008481107734414564,1.4985117625856947e-06,0.1875,2,16,1.0,keep,none,0,0
6,0.6932992758035594,0.6914315260418487,0.6292134831460674,0.7027027027027027,0.5898989898989898,0.008770539120102056,1.6025225459113762e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.692871477018077,0.690846652315119,0.651685393258427,0.7155963302752294,0.6232323232323232,0.009043568681654688,1.7037002003186963e-06,0.1875,2,16,1.0,keep,none,0,0
8,0.6924383607541449,0.6902603094062668,0.651685393258427,0.7155963302752294,0.6515151515151516,0.009292828011051298,1.798672661645497e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
9,0.692000453741919,0.6896740333575339,0.6853932584269663,0.5757575757575758,0.6818181818181819,0.009510605820947666,1.8836948561909028e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.6915583789493479,0.6890896534254155,0.6966292134831461,0.5846153846153846,0.7000000000000001,0.009688892991818819,1.9547231554391433e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
11,0.6911132131565448,0.6885094994258015,0.6966292134831461,0.5846153846153846,0.7237373737373736,0.009820127155202061,2.007814586683643e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
12,0.6906666052023784,0.6879361599305754,0.7303370786516854,0.6756756756756757,0.756060606060606,0.009898078262838943,2.0396426162336014e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
13,0.6902207443181041,0.6873721938434929,0.7640449438202247,0.72,0.7742424242424242,0.009918555526494946,2.0479569616134367e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
14,0.689778233040987,0.6868199868076272,0.7640449438202247,0.72,0.784848484848485,0.009879990104344679,2.0319552770491504e-06,0.1875,2,16,1.0,keep,none,0,0
15,0.6893418579549402,0.6862816621451965,0.7640449438202247,0.72,0.796969696969697,0.009783882806976707,1.9925186722797025e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
16,0.6889142932023012,0.6857589490711549,0.7640449438202247,0.72,0.8060606060606061,0.009634989881879143,1.932230966539114e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
17,0.6884978018583189,0.6852530162056024,0.7640449438202247,0.72,0.8166666666666667,0.009441164995426798,1.8551490590928532e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
18,0.6880939908227727,0.684764326859576,0.7752808988764045,0.7368421052631579,0.828787878787879,0.009212855248573756,1.766360641019743e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
19,0.6877036630203489,0.6842925676147253,0.7752808988764045,0.7368421052631579,0.8323232323232325,0.008962307352467952,1.6714162305858897e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
20,0.6873267975432371,0.6838366789603985,0.7752808988764045,0.7368421052631579,0.8414141414141415,0.008702610545618045,1.5757555912155588e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
21,0.6869626546590434,0.6833949812218605,0.7865168539325843,0.8041237113402062,0.853030303030303,0.008446767026756766,1.4842518016838424e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
22,0.6866099547224715,0.6829653490095988,0.7865168539325843,0.8118811881188119,0.8646464646464648,0.008206961777686593,1.4009499584262824e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
23,0.6862670547844784,0.6825453723152775,0.7865168539325843,0.8118811881188119,0.8651515151515151,0.00799407096483679,1.3289937856478819e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
24,0.6859320752201535,0.6821324789101256,0.8089887640449438,0.7901234567901234,0.8722222222222222,0.007817296245790492,1.2706648468667175e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
25,0.6856029945661163,0.681724059227825,0.797752808988764,0.775,0.8757575757575757,0.007683807563061115,1.2274585987104322e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
26,0.6852777665856279,0.6813176491335432,0.7865168539325843,0.8080808080808081,0.8737373737373737,0.007598477656795862,1.2001890370350618e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
27,0.6849544651380008,0.6809111332664376,0.797752808988764,0.8163265306122449,0.8747474747474747,0.007563972730155591,1.189170265080969e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
28,0.6846313845184363,0.6805028379573418,0.797752808988764,0.8163265306122449,0.8762626262626262,0.007581298250200972,1.1944816333404345e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
29,0.6843070318629447,0.68009144384247,0.797752808988764,0.8163265306122449,0.8752525252525253,0.007650531045273794,1.2162350457626834e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
30,0.6839800305653417,0.6796757888861208,0.797752808988764,0.8163265306122449,0.8742424242424243,0.007771387054015286,1.2547580709614876e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
31,0.6836489981898988,0.6792546749165347,0.8089887640449438,0.8247422680412371,0.8767676767676768,0.007943501289052609,1.3106756472542959e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
32,0.6833124450283224,0.6788267367169686,0.8089887640449438,0.8247422680412371,0.8757575757575757,0.00816649067788819,1.3849213770543238e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
33,0.6829687094172533,0.6783903778221857,0.8089887640449438,0.8247422680412371,0.8742424242424243,0.0084399032296462,1.4787105882240298e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
34,0.6826159314126756,0.6779437582640503,0.797752808988764,0.8125,0.8737373737373737,0.008763113609750512,1.5934898013828195e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
35,0.6822520640041936,0.6774848223015827,0.7865168539325843,0.7323943661971831,0.8747474747474747,0.00913518826978914,1.7308638364133115e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
36,0.6818749199391101,0.677011359266272,0.7752808988764045,0.782608695652174,0.8747474747474747,0.009554737519820375,1.8924995575712986e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
37,0.6814822466436667,0.6765210886589612,0.7752808988764045,0.8,0.8742424242424242,0.010019787485794393,2.0800128758253428e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
38,0.6810718139082571,0.676011752821956,0.7752808988764045,0.8,0.8747474747474747,0.010527716306843892,2.2948559991391603e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
39,0.6806414965548487,0.6754811963190425,0.7865168539325843,0.7466666666666667,0.8767676767676768,0.011075284995215607,2.5382254549197883e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
