epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6956885370174566,0.6947270079588806,0.5393258426966292,0.6434782608695652,0.4287878787878788,0.007128792565139376,1.0565285046043328e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.6953167087581291,0.6942259335346443,0.550561797752809,0.6,0.4515151515151515,0.007350212740851299,1.1240163007620093e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6949341425495845,0.6937025333444793,0.550561797752809,0.6491228070175439,0.47575757575757577,0.007601998212747043,1.2030337979112646e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6945400040010792,0.693153847218339,0.5842696629213483,0.6407766990291263,0.502020202020202,0.007885471988606098,1.2949599136162165e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.6941350376496337,0.6925885275375873,0.5955056179775281,0.6666666666666666,0.5318181818181817,0.008182981250500234,1.3948648531549275e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
5,0.6937209059746214,0.6920130645199118,0.6067415730337079,0.6788990825688074,0.5565656565656566,0.008481107734414567,1.4985117625856964e-06,0.1875,2,16,1.0,keep,none,0,0
6,0.6932992758035594,0.6914315260418487,0.6292134831460674,0.7027027027027027,0.5898989898989898,0.008770539120102054,1.6025225459113755e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.692871477018077,0.690846652315119,0.651685393258427,0.7155963302752294,0.6232323232323232,0.009043568681654693,1.7037002003186987e-06,0.1875,2,16,1.0,keep,none,0,0
8,0.6924383607541449,0.6902603094062669,0.651685393258427,0.7155963302752294,0.6515151515151516,0.00929282801105129,1.7986726616454936e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
9,0.692000453741919,0.6896740333575339,0.6853932584269663,0.5757575757575758,0.6818181818181819,0.009510605820947671,1.8836948561909047e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.6867460535308113,0.6890896534254155,0.6966292134831461,0.5846153846153846,0.7,0.018166279659630677,4.469668279788484e-06,0.1111111111111111,3,24,1.0,add_layer,committed,1,0
11,0.6856240678576231,0.6835307224940919,0.7752808988764045,0.7777777777777778,0.8,0.018076173684232717,4.408978613481993e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
12,0.6845269546033026,0.6823326631151768,0.7865168539325843,0.7816091954022989,0.8146464646464646,0.017959459757754336,4.332608650543246e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
13,0.6834662728646219,0.6811703411719067,0.797752808988764,0.7954545454545454,0.8171717171717172,0.01776149770817968,4.213789324470355e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
14,0.6824526209461999,0.6800640236190073,0.8089887640449438,0.8172043010752689,0.8217171717171717,0.017516875799152076,4.071656059349344e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
15,0.6946956861275775,0.6790235884488502,0.8089887640449438,0.8172043010752689,0.8247474747474748,0.023654928241637906,5.808164120082138e-06,0.08333333333333333,4,32,1.0,add_layer,committed,2,0
16,0.6929199672362574,0.6933799600464787,0.5730337078651685,0.6346153846153846,0.5227272727272727,0.023781403315636405,5.8688176806319215e-06,0.09375,4,32,1.0,keep,none,2,0
17,0.6911597072664064,0.6912604498047306,0.6853932584269663,0.7307692307692307,0.6126262626262626,0.023653435562239863,5.803071704499402e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
18,0.689430455173943,0.6892153585335499,0.7191011235955056,0.7572815533980582,0.6621212121212121,0.023325958203488338,5.6396375919999815e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
19,0.6877535608976345,0.6872632247336794,0.7415730337078652,0.780952380952381,0.7040404040404041,0.022788148890310944,5.377423426893048e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
20,0.6861516629524465,0.6854261258148487,0.7640449438202247,0.8,0.7535353535353535,0.022065415557091805,5.035404189544869e-06,0.08333333333333333,4,32,1.0,propose_reduce_entanglement,in_progress,2,0
21,0.6846422989609381,0.6837169337991658,0.7752808988764045,0.8113207547169812,0.8050505050505051,0.021207927554805123,4.64450802127163e-06,0.08333333333333333,4,29,0.9045084971874737,keep,in_progress,2,0
22,0.6832350975128963,0.6821383323557303,0.7640449438202247,0.8037383177570093,0.8404040404040404,0.020281267025045735,4.24006861559807e-06,0.08333333333333333,4,21,0.6545084971874737,keep,in_progress,2,0
23,0.6819329188326178,0.6806909673259106,0.797752808988764,0.75,0.8747474747474748,0.019353458938751095,3.85382497093435e-06,0.09375,4,11,0.34549150281252633,keep,in_progress,2,0
24,0.6807326799685334,0.6793691921669842,0.8314606741573034,0.8,0.904040404040404,0.018483961004296313,3.5089576105784417e-06,0.08333333333333333,4,3,0.09549150281252633,keep,in_progress,2,0
25,0.6949166661808523,0.6781587592196785,0.8426966292134831,0.8478260869565217,0.9106060606060606,0.021555514258765167,3.8438365641824556e-06,0.06666666666666667,5,0,0.0,add_layer,committed,4,0
26,0.693130607903014,0.6930695109607943,0.5617977528089888,0.3157894736842105,0.46616161616161617,0.021520681637445905,3.836421419180401e-06,0.06666666666666667,5,0,0.0,keep,none,4,0
27,0.691340230511159,0.6911194118601519,0.5955056179775281,0.45454545454545453,0.5545454545454546,0.021407254729140675,3.8009863009451634e-06,0.06666666666666667,5,0,0.0,keep,none,4,0
28,0.6895646835976202,0.6891768127377657,0.6629213483146067,0.625,0.6424242424242425,0.0212017218489208,3.7326099546496683e-06,0.06666666666666667,5,0,0.0,keep,none,4,0
29,0.6878188253644707,0.6872571062898224,0.7078651685393258,0.723404255319149,0.7191919191919192,0.020903772751672586,3.6321802503967992e-06,0.06666666666666667,5,0,0.0,keep,none,4,0
30,0.6921092074311113,0.6853894650835985,0.7528089887640449,0.7608695652173914,0.7545454545454545,0.02632745155915513,4.790672226195136e-06,0.05555555555555555,6,0,0.0,add_layer,committed,5,0
31,0.6897387364015156,0.6874683937078933,0.7640449438202247,0.7789473684210526,0.7848484848484849,0.025019477157521102,4.327161441047719e-06,0.05555555555555555,6,0,0.0,keep,none,5,0
32,0.687547576053985,0.6849182440862241,0.8202247191011236,0.8222222222222222,0.8393939393939394,0.023759755624917365,3.904048024793857e-06,0.05555555555555555,6,0,0.0,keep,none,5,0
33,0.6855022295908267,0.6825362514295258,0.8314606741573034,0.8314606741573034,0.8626262626262627,0.022772080243205716,3.5879756194005254e-06,0.0625,6,0,0.0,keep,none,5,0
34,0.6835771301539919,0.6803147840052718,0.8314606741573034,0.8314606741573034,0.8676767676767677,0.021998633719052644,3.349720810688228e-06,0.05555555555555555,6,0,0.0,keep,none,5,0
35,0.6933580817162536,0.6782504277743181,0.8314606741573034,0.8314606741573034,0.8848484848484848,0.02588262822520507,3.984592127122731e-06,0.047619047619047616,7,0,0.0,add_layer,committed,6,0
