episode,return,return_ma100
1,-3.91404502858718,-3.91404502858718
2,-3.856068889670731,-3.8850569591289554
3,-0.9833588722141466,-2.917824263490686
4,-0.5202797824806791,-2.318438143238184
5,-0.3326364566803176,-1.9212778059266107
6,-0.329454476164978,-1.6559739176330055
7,-0.9721871755914635,-1.5582900973413565
8,-0.2981805885315844,-1.400776408740135
9,-3.33721585119201,-1.6159363467903434
10,-5.460530300671737,-2.0003957421784824
11,-1.6117959011495289,-1.9650684839031234
12,-6.273186341724507,-2.324078305388239
13,-0.9492840934997565,-2.21832490447374
14,-1.9158298420352835,-2.1967181142995647
15,-7.886132361578744,-2.5760123974515095
16,-9.531908181726006,-3.010755883968666
17,-1.4019958471488998,-2.9161229406263267
18,-0.22746269217421144,-2.766752926823431
19,-0.96461910785418,-2.671903778456629
20,-2.3757013239088143,-2.657093655729238
21,-10.044672101975916,-3.0088831055505083
22,-0.22746269217421144,-2.882454904942495
23,-1.9156309631554271,-2.840419081386535
24,-5.013166411776717,-2.930950220152793
25,-0.7657134500404904,-2.844340749348301
26,-2.270088681413531,-2.82225413135081
27,-0.3326364566803176,-2.7300460693259767
28,-0.21989462443692792,-2.6403978034370823
29,-1.240418463817699,-2.5921226537950344
30,-0.2366344299490571,-2.513606379666835
31,-1.0099967074050262,-2.4651028418519383
32,-1.2161105905682865,-2.426071833999324
33,-10.551603263193337,-2.672300059126415
34,-9.159159465808122,-2.8630900416758776
35,-1.255554599292266,-2.8171604576077742
36,-0.9188129436707657,-2.764428582220635
37,-0.27008868141353043,-2.6970139903069295
38,-10.898256360213406,-2.9128361579360473
39,-3.212326556699645,-2.920515398929986
40,-1.46398829764058,-2.8841022213977507
41,-3.794526767171855,-2.906307698123948
42,-1.6798779366727137,-2.877106989517966
43,-0.9188129436707657,-2.83156526752152
44,-0.9570510401168967,-2.7889626714441422
45,-6.400325131585695,-2.8692151705583986
46,-4.206088255241217,-2.8982776289210683
47,-8.632601547693811,-3.020284520809851
48,-3.414045851669646,-3.0284878818694296
49,-0.28743054027896153,-2.9725479361226856
50,-0.27229440480439465,-2.91854286549632
51,-1.590923469061863,-2.892511112625056
52,-2.0558044369386517,-2.8764205996310865
53,-0.329454476164978,-2.8283646350373863
54,-1.7660227339253294,-2.8086916368686445
55,-0.301362569046924,-2.763103835635522
56,-10.861300333243497,-2.9077144873785215
57,-10.118477555673593,-3.0342191026117686
58,-0.6465463480225766,-2.9930523309809205
59,-0.21989462443692792,-2.9460496579886493
60,-0.2236786583055697,-2.9006768079939316
61,-0.7885491388598401,-2.8660517642376346
62,-0.9048809149028034,-2.834419976345137
63,-1.3721422826811671,-2.811209219302852
64,-10.39943316045052,-2.9297752183832846
65,-10.591153253150914,-3.047642572764325
66,-0.9062552165267801,-3.015197309791029
67,-5.0627786261951035,-3.045758224961239
68,-1.7958918304010176,-3.027377836805942
69,-3.8856715498682766,-3.039816876125686
70,-9.620071468606586,-3.133820513161127
71,-4.5624348702484365,-3.153941842134188
72,-9.671920266444776,-3.244469320249612
73,-4.257933035393926,-3.2583523848406304
74,-1.5578502609766982,-3.2353726264100366
75,-0.23124672604285318,-3.195317614405141
76,-9.531908181726006,-3.2786938060804154
77,-5.778700893297627,-3.3111614305897303
78,-3.5987565742384184,-3.3148485478159952
79,-8.867931315689834,-3.3851407347511073
80,-5.855023410527715,-3.4160142681983148
81,-0.23897236414884948,-3.3767915286421486
82,-0.8819778328110961,-3.346366971375916
83,-0.2236786583055697,-3.3087442206160325
84,-6.548041521357161,-3.3473072837200935
85,-4.409349652477276,-3.3598018998231196
86,-10.039660621812972,-3.437474675660211
87,-8.334933014230725,-3.493767300241481
88,-10.787645528325605,-3.576652280106073
89,-4.51605777286707,-3.587207398002264
90,-2.4573033035829477,-3.574652908064272
91,-0.25933863316090744,-3.5382208830653337
92,-0.7569112529797943,-3.50798925665136
93,-1.9152964611458942,-3.4908635276674307
94,-6.066481061461687,-3.5182637141971567
95,-4.450579743281126,-3.528077567134883
96,-0.6083221015100794,-3.497663447701291
97,-1.2366344299490573,-3.4743538701986907
98,-1.7186456271150132,-3.4564384799631434
99,-0.268510370935753,-3.424237185932563
100,-8.241595539121949,-3.4724107694644575
101,-3.606314761643668,-3.4693334667950224
102,-9.274167988390325,-3.5235144577822184
103,-6.337356724669446,-3.577054436306771
104,-7.600295533752451,-3.647854593819489
105,-8.945495874593698,-3.7339831879986223
106,-6.173034689755109,-3.7924189901345238
107,-9.769922480684656,-3.8803963431854553
108,-3.6540723518928817,-3.913955260819069
109,-5.22550188335249,-3.9328381211406738
110,-0.3920022514317652,-3.8821528406482737
111,-0.5307104574874842,-3.871341986211653
112,-1.417233404368639,-3.8227824568380946
113,-6.163029905694215,-3.8749199149600395
114,-4.9459890169198015,-3.9052215067088842
115,-4.073907092839776,-3.8670992540214946
116,-5.173174208210883,-3.823511914286343
117,-3.84936848644028,-3.847985640679257
118,-3.806825689514756,-3.883779270652663
119,-6.596705218522809,-3.940100131759349
120,-0.6620449210641112,-3.9229635677309016
121,-7.280016965844035,-3.8953170163695834
122,-9.05933030770574,-3.983635692524898
123,-0.15057920381249554,-3.965985174931469
124,-2.5971962548345746,-3.941825473362048
125,-0.21989462443692792,-3.9363672851060123
126,-5.117599645568465,-3.9648423947475613
127,-6.323146697929856,-4.024747497160057
128,-3.2905080809357337,-4.055453631725045
129,-0.7285711086567309,-4.050335158173435
130,-5.0397458011604686,-4.098366271885549
131,-0.6664402293150483,-4.094930707104649
132,-0.3475894659036876,-4.0862454958580035
133,-9.049707860482531,-4.071226541830895
134,-3.4025111069979728,-4.013660058242794
135,0.19057670629736595,-3.9991987451868978
136,-4.970116269283359,-4.039711778443023
137,-0.9244450676982143,-4.04625534230587
138,-0.8250283688787694,-3.945523062392524
139,-10.186257000624401,-4.015262366831772
140,-0.4939294429139275,-4.0055617782845045
141,-6.364186550963955,-4.031258376122426
142,-6.112930548779311,-4.075588902243492
143,-0.2366344299490571,-4.068767117106275
144,-0.329454476164978,-4.062491151466756
145,-2.7596917770852722,-4.026084817921752
146,-5.229315228166229,-4.0363170876510015
147,-7.445758246140501,-4.024448654635468
148,-1.9212509506249016,-4.009520705625021
149,-9.77123313367882,-4.10435873155902
150,-3.125788809441133,-4.132893675605387
151,-8.797568884355702,-4.204960129758325
152,-4.845298623538071,-4.23285507162432
153,-0.23124672604285318,-4.231872994123099
154,-0.23124672604285318,-4.216525234044274
155,-0.25933863316090744,-4.216104994685413
156,-6.758000877215406,-4.175072000125132
157,-7.657669894972042,-4.150463923518117
158,-0.17924987636166023,-4.145790958801508
159,-0.25933863316090744,-4.146185398888748
160,-7.195032504434237,-4.215898937350034
161,-3.4942614338942146,-4.2429560603003775
162,-0.8866219064292395,-4.242773470215642
163,-6.123400982198834,-4.290286057210819
164,-1.3983783872637443,-4.200275509478951
165,-6.241664048009877,-4.156780617427541
166,-7.930382402690901,-4.2270218892891815
167,-5.493247018028904,-4.23132657320752
168,-0.3685581956547209,-4.217053236860057
169,-3.0797276896605537,-4.20899379825798
170,-0.36896030216582726,-4.116482686593573
171,-1.8318406260800755,-4.089176744151889
172,-8.70359414070256,-4.079493482894467
173,-0.33826220146478236,-4.040296774555175
174,-6.370043788186077,-4.088418709827269
175,-5.201387324285833,-4.138120115809699
176,-2.453650675156947,-4.067337540744009
177,-1.5064732813173034,-4.024615264624205
178,-0.0868273218391038,-3.9894959721002117
179,-0.2560925331802205,-3.9033775842751157
180,-8.235875004476018,-3.9271861002145987
181,-5.628895613008857,-3.9810853327031985
182,-4.958949481215347,-4.021855049187241
183,-0.05495138085240778,-4.02016777641271
184,-4.922211304511364,-4.003909474244252
185,-7.151178031859388,-4.031327758038072
186,-6.38714519190149,-3.9948026037389575
187,-6.821294643061771,-3.979666220027268
188,-5.674082918694319,-3.928530593930956
189,-7.808932146241923,-3.9614593376647043
190,-1.6458922518069463,-3.953345227146944
191,-0.3951842319471048,-3.954703683134806
192,-3.0954889810189488,-3.9780894604151977
193,-0.2682184400402932,-3.9616186802041415
194,-8.476921126989353,-3.985723080859418
195,-6.344628868539445,-4.004663572112001
196,-1.457439286493896,-4.01315474396184
197,-8.03301574780236,-4.081118557140373
198,-2.3201194478295437,-4.087133295347518
199,-4.43496064221071,-4.128797798060267
200,-4.69762612077834,-4.093358103876831
201,-1.5732330174895368,-4.07302728643529
202,-0.3806025082168908,-3.9840916316335555
203,-7.091305001428509,-3.9916311144011467
204,-6.466906344201747,-3.980297222505639
205,-6.2528179192407976,-3.9533704429521106
206,-3.1010846354762345,-3.9226509424093217
207,-7.681867949800737,-3.901770397100483
208,-3.335660526323667,-3.8985862788447903
209,-4.2786375139522566,-3.889117635150788
210,-1.0549513808524078,-3.8957471264449945
211,-4.0859109732408365,-3.9312991316025285
212,-0.016509458241965258,-3.917291892141262
213,-7.136330086804509,-3.927024893952364
214,-1.7797228679181005,-3.895362232462347
215,0.1199019689767645,-3.853424141844182
216,0.049429302160714395,-3.801198106740466
217,-5.935359618189499,-3.8220580180579575
218,0.46780182596521613,-3.7793117429031584
219,-8.105051624841806,-3.7943952069663482
220,-3.374373110517875,-3.821518488860886
221,-6.4085946234287405,-3.812804265436733
222,-8.335385707004678,-3.8055648194297227
223,-6.689665351549454,-3.870955680907092
224,-3.5936488326049187,-3.8809202066847956
225,-6.450717834510277,-3.9432284387855288
226,0.05071874073733734,-3.891545254922471
227,-0.4018238194933704,-3.832332026138106
228,-0.5565112142635635,-3.8049920574713845
229,-6.7600121584090935,-3.8653064679689084
230,-6.19548496522461,-3.876863859609549
231,-1.01002160631397,-3.8802996733795383
232,-7.42454957751408,-3.9510692744956426
233,-7.124539473500556,-3.9318175906258226
234,-3.231094293937643,-3.9301034224952196
235,-4.516708701543845,-3.9771762765736316
236,-2.230759910379534,-3.9497827129845935
237,-7.478638657799963,-4.015324648885611
238,-0.04030814609396893,-4.007477446657763
239,-0.23285039608041536,-3.907943380612323
240,-0.4108285306248613,-3.9071123714894322
241,-1.174003274045155,-3.8552105387202444
242,-7.186765355465985,-3.865948886787111
243,-3.7538704131891514,-3.901121246619512
244,-4.880046873115518,-3.9466271705890175
245,-2.5175035855128014,-3.9442052886732926
246,-3.198055350906749,-3.9238926899006983
247,-7.25009922399625,-3.9219360996792556
248,-1.4505652665928368,-3.9172292428389346
249,-5.71396294682163,-3.8766565409703624
250,-0.15546908359773481,-3.8469533437119288
251,-8.787632335560689,-3.8468539782239786
252,-0.04030814609396893,-3.7988040734495376
253,-8.603698379860951,-3.8825285899877184
254,-5.983137246944142,-3.940047495196731
255,-3.204411951203219,-3.9694982283771547
256,-5.085915158878048,-3.9527773711937813
257,-2.9854944673637935,-3.906055616917698
258,-3.639224193414086,-3.940655360088223
259,-1.3158834166476492,-3.9512208079230904
260,-4.219806486154609,-3.921468547740294
261,-6.960071714495213,-3.9561266505463037
262,-5.2264221388228345,-3.9995246528702397
263,-2.0694439344856006,-3.958985082393107
264,-6.083398759186929,-4.005835286112339
265,-0.7143939444956924,-3.9505625850771975
266,-2.278303995497845,-3.894041801005267
267,-6.440764686690972,-3.9035169776918877
268,-3.032014874303046,-3.9301515444783712
269,-4.012060782234162,-3.9394748754041076
270,-4.486885948286075,-3.9806541318653093
271,-0.8484186218668655,-3.970819911823177
272,-2.386493042197622,-3.907648900838128
273,0.48746949394420785,-3.899391583884038
274,-0.4167779674444252,-3.8398589256766216
275,-5.225830936041991,-3.840103361794183
276,-3.0110988912850347,-3.8456778439554635
277,-3.49243597954003,-3.8655374709376913
278,-0.2391788768643785,-3.867060986487944
279,-5.5298706480943896,-3.9197987676370856
280,-5.418217776242894,-3.8916221953547545
281,-0.20549574875628532,-3.8373881967122285
282,-5.387592305957958,-3.841674624959655
283,-5.139050453745981,-3.8925156156885907
284,-5.977480786173481,-3.9030683105052115
285,-5.392156773301151,-3.8854780979196293
286,-0.29804883883438693,-3.824587134388959
287,-3.849575724918345,-3.7948699452075245
288,-7.246897949972703,-3.810598095520308
289,-0.7532987433567353,-3.7400417614914563
290,-3.0530373013190397,-3.7541132119865765
291,-3.161830000290478,-3.7817796696700103
292,-4.213724488022194,-3.792962024740043
293,-5.514769269781058,-3.845427533037451
294,-3.282888363090997,-3.7934872053984674
295,-5.123269288745463,-3.781273609600527
296,-3.8458647263017784,-3.8051578639986063
297,-5.625644951127627,-3.781084156031859
298,-2.027188925059003,-3.778154850804153
299,-2.5407100912118796,-3.7592123452941655
300,-1.0567084113137477,-3.7228031681995195
301,-2.496428419353788,-3.732035122218162
