epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6966269279924656,0.6949862553230461,0.515527950310559,0.6454545454545455,0.4041666666666667,0.013007057421872678,3.4848180506990352e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.6960010854822045,0.6945358760300987,0.5279503105590062,0.6448598130841121,0.4229938271604939,0.013324975087773533,3.6549028964976423e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6953611293990078,0.694077694827413,0.5403726708074534,0.6574074074074074,0.4444444444444445,0.013612877911762336,3.811340694778878e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6947082966476427,0.693612424731166,0.546583850931677,0.6507177033492823,0.47021604938271605,0.013873475683014651,3.954610740661114e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.6940425523849884,0.6931404538985149,0.5403726708074534,0.6442307692307693,0.49799382716049384,0.014104636850317874,4.082534826565091e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
5,0.6933649826355403,0.6926634964773087,0.5527950310559007,0.6571428571428571,0.5251543209876544,0.014297029910114502,4.188609100417927e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
6,0.6926787134161194,0.6921845535854231,0.5714285714285714,0.6187845303867403,0.5524691358024691,0.014441586951026684,4.266338760470335e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.6919880921474684,0.6917071410223585,0.6024844720496895,0.6521739130434783,0.578858024691358,0.014533827670176443,4.312064488162979e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
8,0.69129782363363,0.691234790910215,0.6086956521739131,0.6557377049180327,0.5978395061728395,0.014574334890033564,4.325474375756449e-06,0.1875,2,16,1.0,keep,none,0,0
9,0.6906124081621636,0.6907707333807673,0.6273291925465838,0.6666666666666666,0.6179012345679012,0.014568027563911026,4.309235766973837e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.6899356904269138,0.6903176128766759,0.6335403726708074,0.6703910614525139,0.6313271604938271,0.014523418142904186,4.268475266397091e-06,0.16666666666666666,2,16,1.0,propose_reduce_entanglement,in_progress,0,0
11,0.6892704192053102,0.6898772244525425,0.6583850931677019,0.6745562130177515,0.6419753086419753,0.014451701340780922,4.210079179424972e-06,0.16666666666666666,2,14,0.9045084971874737,keep,in_progress,0,0
12,0.6886179636899672,0.6894504202015905,0.6645962732919255,0.6896551724137931,0.6499999999999999,0.014365052595950984,4.141527313507613e-06,0.16666666666666666,2,10,0.6545084971874737,keep,in_progress,0,0
13,0.6879784265990124,0.6890372892742559,0.6708074534161491,0.6936416184971098,0.6555555555555554,0.01427438709746437,4.069484540157836e-06,0.16666666666666666,2,6,0.34549150281252633,keep,in_progress,0,0
14,0.6873510534290826,0.688637399008972,0.6708074534161491,0.6936416184971098,0.6617283950617283,0.01418794079629922,3.998961372148229e-06,0.16666666666666666,2,2,0.09549150281252633,keep,in_progress,0,0
15,0.6867346134722,0.6882499181878301,0.6645962732919255,0.6785714285714286,0.6631172839506174,0.01411106481655134,3.9332238224997555e-06,0.16666666666666666,2,0,0.0,propose_reduce_entanglement,in_progress,1,0
16,0.6861276682700347,0.6878737013763286,0.6708074534161491,0.6826347305389222,0.667283950617284,0.01404650753858522,3.873996977434916e-06,0.16666666666666666,2,14,0.9045084971874737,keep,in_progress,1,0
17,0.6855288208648282,0.6875074265779993,0.6645962732919255,0.6966292134831461,0.6699074074074073,0.013994776771851979,3.8217188343468885e-06,0.16666666666666666,2,10,0.6545084971874737,keep,in_progress,1,0
18,0.6849369370359714,0.6871497656849661,0.6770186335403726,0.7045454545454546,0.6723765432098765,0.013954658070207564,3.775873430786805e-06,0.16666666666666666,2,6,0.34549150281252633,keep,in_progress,1,0
19,0.6843512383914098,0.6867995061185728,0.6770186335403726,0.7045454545454546,0.6720679012345678,0.013923876084429042,3.7353820344588307e-06,0.16666666666666666,2,2,0.09549150281252633,keep,in_progress,1,0
20,0.6837712557517631,0.6864555919391745,0.6708074534161491,0.7005649717514124,0.6729938271604938,0.01389968362602309,3.698933329330071e-06,0.16666666666666666,2,0,0.0,stop_growth,committed,2,0
21,0.6831967269631627,0.6861171206082677,0.6645962732919255,0.6931818181818182,0.6756172839506173,0.01387924327257107,3.665188598734252e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
22,0.6826275129363853,0.6857833378798106,0.6708074534161491,0.6900584795321637,0.6760802469135803,0.013859831925795676,3.6328880379749867e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
23,0.6820635535186823,0.6854536449853368,0.6708074534161491,0.6900584795321637,0.6776234567901235,0.013838951783471973,3.6009079051988074e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
24,0.6815048526593218,0.6851276114069821,0.6708074534161491,0.6900584795321637,0.6776234567901236,0.013814402629489884,3.568298583316557e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
25,0.6809514750865956,0.6848049817288367,0.6770186335403726,0.6941176470588235,0.6807098765432099,0.013784333231344656,3.5343117592713527e-06,0.16666666666666666,2,0,0.0,stop_growth,none,2,0
26,0.6804035412348794,0.6844856690398315,0.6708074534161491,0.6971428571428572,0.6808641975308642,0.013747269876958262,3.4984140559652e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
27,0.6798612143088936,0.6841697332422769,0.6708074534161491,0.6971428571428572,0.6833333333333333,0.013702115477864693,3.4602825178702723e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
28,0.6793246793726401,0.6838573471464621,0.6708074534161491,0.6971428571428572,0.6847222222222222,0.01364811602210763,3.4197799477152436e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
29,0.6787941181378425,0.6835487556178638,0.6708074534161491,0.6936416184971098,0.6861111111111111,0.013584797325645132,3.376912161555784e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
30,0.6782696847642197,0.6832442336379666,0.6645962732919255,0.6931818181818182,0.6870370370370371,0.013511881048877437,3.331773023238373e-06,0.16666666666666666,2,0,0.0,stop_growth,none,2,0
31,0.6777514879916279,0.6829440486181672,0.6708074534161491,0.6708074534161491,0.6893518518518518,0.013429193283552658,3.2844857207614097e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
32,0.6772395839158696,0.6826484312661574,0.6645962732919255,0.686046511627907,0.691358024691358,0.013336581092113161,3.2351498087504166e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
33,0.6767339821706236,0.6823575581093522,0.6708074534161491,0.6580645161290323,0.6919753086419753,0.013233852215162642,3.1838030952699445e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
34,0.676234666421214,0.6820715475394581,0.6770186335403726,0.6623376623376623,0.6939814814814815,0.01312075103229291,3.1304057095109976e-06,0.16666666666666666,2,0,0.0,keep,none,2,0
35,0.6757416279257691,0.681790469850319,0.6645962732919255,0.6538461538461539,0.6938271604938272,0.012996979996015741,3.0748508540130623e-06,0.16666666666666666,2,0,0.0,propose_reduce_entanglement,in_progress,2,0
36,0.6752549084064094,0.6815143699782533,0.6583850931677019,0.6857142857142857,0.6941358024691358,0.012862270147124624,3.0170029187632282e-06,0.16666666666666666,2,14,0.9045084971874737,keep,in_progress,2,0
37,0.6747746456918151,0.6812432993961948,0.6583850931677019,0.6625766871165644,0.6947530864197531,0.012716496806787693,2.956758896182263e-06,0.16666666666666666,2,10,0.6545084971874737,keep,in_progress,2,0
38,0.6743011130718433,0.6809773511193528,0.6583850931677019,0.6540880503144654,0.6959876543209876,0.012559827324383991,2.8941237630674347e-06,0.16666666666666666,2,6,0.34549150281252633,keep,in_progress,2,0
39,0.673834742062797,0.6807166898463686,0.6583850931677019,0.6540880503144654,0.6967592592592592,0.012392878073229932,2.8292857000129757e-06,0.16666666666666666,2,2,0.09549150281252633,keep,in_progress,2,0
