epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6966269279924656,0.6949862553230461,0.515527950310559,0.6454545454545455,0.4041666666666667,0.013007057421872678,3.4848180506990352e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.6960010854822045,0.6945358760300987,0.5279503105590062,0.6448598130841121,0.4229938271604939,0.013324975087773533,3.6549028964976436e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6953611293990078,0.694077694827413,0.5403726708074534,0.6574074074074074,0.4444444444444445,0.01361287791176234,3.8113406947788814e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6947082966476427,0.693612424731166,0.546583850931677,0.6507177033492823,0.47021604938271605,0.013873475683014664,3.954610740661121e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.6940425523849884,0.6931404538985149,0.5403726708074534,0.6442307692307693,0.49799382716049384,0.014104636850317886,4.082534826565098e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
5,0.6933649826355403,0.6926634964773087,0.5527950310559007,0.6571428571428571,0.5251543209876544,0.014297029910114499,4.188609100417925e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
6,0.6926787134161192,0.6921845535854231,0.5714285714285714,0.6187845303867403,0.5524691358024691,0.014441586951026698,4.266338760470344e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.6919880921474686,0.6917071410223585,0.6024844720496895,0.6521739130434783,0.578858024691358,0.014533827670176448,4.312064488162983e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
8,0.69129782363363,0.691234790910215,0.6086956521739131,0.6557377049180327,0.5978395061728395,0.014574334890033562,4.325474375756447e-06,0.1875,2,16,1.0,keep,none,0,0
9,0.6906124081621636,0.6907707333807673,0.6273291925465838,0.6666666666666666,0.6179012345679012,0.01456802756391103,4.309235766973839e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.693049045201435,0.6903176128766759,0.6335403726708074,0.6703910614525139,0.6313271604938271,0.013749367192158019,2.6253423071206716e-06,0.1111111111111111,3,24,1.0,add_layer,committed,1,0
11,0.6922541881934632,0.6922457713560453,0.546583850931677,0.5100671140939598,0.5412037037037037,0.01379604839733663,2.6434854340718484e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
12,0.6914552163924462,0.6918056330097143,0.5652173913043478,0.65,0.5645061728395062,0.013831273437095466,2.6566979364286356e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
13,0.6906502645904439,0.6913735564245788,0.5962732919254659,0.632768361581921,0.5839506172839506,0.013889196181429163,2.677984111390926e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
14,0.6898401056324774,0.6909451223795038,0.6149068322981367,0.6666666666666666,0.6029320987654321,0.013943982277794446,2.697435334091357e-06,0.125,3,24,1.0,keep,none,1,0
15,0.6890310157617103,0.6905208358579801,0.6459627329192547,0.6779661016949152,0.620679012345679,0.013980874991641122,2.7095245390721725e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
16,0.688231070400114,0.6901040949557661,0.6459627329192547,0.6705202312138728,0.6260802469135802,0.013999497952966612,2.7143273619960375e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
17,0.6874480198383384,0.6896989579761044,0.639751552795031,0.6588235294117647,0.6375,0.014010261808035824,2.7161609419400706e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
18,0.6866872722243736,0.6893084451999744,0.639751552795031,0.6813186813186813,0.6456790123456789,0.014029489804466052,2.7216759436178404e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
19,0.6859505984966426,0.6889335279845081,0.6583850931677019,0.6625766871165644,0.6498456790123457,0.01407319192063599,2.737365006038073e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
20,0.6852359886297825,0.6885728854658923,0.639751552795031,0.6847826086956522,0.6506172839506172,0.01415080115759344,2.7670599201608406e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
21,0.6845388447137504,0.6882236647700665,0.6335403726708074,0.6810810810810811,0.6520061728395061,0.01426163678956183,2.8105330621672114e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
22,0.6838534479094871,0.6878825183993723,0.6335403726708074,0.6628571428571428,0.6518518518518519,0.01439659813006685,2.864164825557067e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
23,0.6831740907620734,0.6875459773338175,0.639751552795031,0.6704545454545454,0.6526234567901235,0.014543636531655623,2.9230993583650907e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
24,0.6824957473596118,0.6872104779769617,0.639751552795031,0.6741573033707865,0.6541666666666667,0.014692210284528337,2.9830038062658054e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
25,0.6944328213296781,0.6868724586853946,0.639751552795031,0.6777777777777778,0.6552469135802469,0.02792595946982359,8.11727595752536e-06,0.08333333333333333,4,32,1.0,add_layer,committed,2,0
26,0.6925656532974565,0.6900908001059208,0.6149068322981367,0.5373134328358209,0.6203703703703703,0.02686265963960877,7.512483286650195e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
27,0.6907933055332155,0.6888532512331641,0.6335403726708074,0.6424242424242425,0.6587962962962962,0.02563106533706809,6.8413313308182355e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
28,0.6891109297824132,0.6876709666728004,0.6583850931677019,0.6783625730994152,0.6941358024691359,0.024333710344789886,6.16769215040925e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
29,0.6875221382895367,0.6865723108440343,0.6894409937888198,0.7191011235955056,0.7188271604938272,0.023028298918102236,5.523895551499454e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
30,0.6941358092563169,0.6855611787579122,0.7018633540372671,0.7176470588235294,0.7374999999999999,0.025412538253859026,5.3628892402896e-06,0.06666666666666667,5,40,1.0,add_layer,committed,3,0
31,0.6921625742755158,0.6909540537102403,0.6086956521739131,0.5655172413793104,0.5947530864197531,0.025426678628349856,5.373143136468529e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
32,0.6902126167283246,0.689590911641355,0.6583850931677019,0.5985401459854015,0.6396604938271605,0.025118358901513253,5.247085988919175e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
33,0.68831762241104,0.6882820773200912,0.6583850931677019,0.6258503401360545,0.6822530864197531,0.02456258490334222,5.0200182825604515e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
34,0.6865059768390583,0.6870602426813494,0.6521739130434783,0.6956521739130435,0.7117283950617285,0.02380832892020662,4.718439397223091e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
35,0.6935474226830645,0.6859403970149207,0.6708074534161491,0.5470085470085471,0.7239197530864196,0.029681480163634165,6.078608791588646e-06,0.05555555555555555,6,48,1.0,add_layer,committed,4,0
36,0.690850360168667,0.6907570825951886,0.5962732919254659,0.5185185185185185,0.5865740740740741,0.02949064844180482,6.0041623540193704e-06,0.0625,6,48,1.0,keep,none,4,0
37,0.6882174919690406,0.6889019089791416,0.6273291925465838,0.6511627906976745,0.6388888888888888,0.028883697136751815,5.762495336364252e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
38,0.6856863199246925,0.6871081816906418,0.6583850931677019,0.6820809248554913,0.6745370370370372,0.028042511714209416,5.434472990061457e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
39,0.6832825215078802,0.6854062401548962,0.6956521739130435,0.7134502923976608,0.696141975308642,0.02704630543323386,5.058046434313254e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
