epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6966269279924656,0.6949862553230461,0.515527950310559,0.6454545454545455,0.4041666666666667,0.01300705742187267,3.484818050699032e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.6960010854822045,0.6945358760300987,0.5279503105590062,0.6448598130841121,0.4229938271604939,0.013324975087773536,3.654902896497645e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6953611293990078,0.694077694827413,0.5403726708074534,0.6574074074074074,0.4444444444444445,0.013612877911762343,3.8113406947788835e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6947082966476427,0.693612424731166,0.546583850931677,0.6507177033492823,0.47021604938271605,0.01387347568301465,3.954610740661113e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.6940425523849884,0.6931404538985149,0.5403726708074534,0.6442307692307693,0.49799382716049384,0.01410463685031788,4.082534826565095e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
5,0.6933649826355403,0.6926634964773087,0.5527950310559007,0.6571428571428571,0.5251543209876544,0.014297029910114509,4.188609100417931e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
6,0.6926787134161192,0.6921845535854231,0.5714285714285714,0.6187845303867403,0.5524691358024691,0.014441586951026692,4.266338760470341e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.6919880921474684,0.6917071410223585,0.6024844720496895,0.6521739130434783,0.578858024691358,0.01453382767017644,4.312064488162977e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
8,0.69129782363363,0.691234790910215,0.6086956521739131,0.6557377049180327,0.5978395061728395,0.014574334890033555,4.325474375756444e-06,0.1875,2,16,1.0,keep,none,0,0
9,0.6906124081621635,0.6907707333807673,0.6273291925465838,0.6666666666666666,0.6179012345679012,0.014568027563911026,4.309235766973838e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.693049045201435,0.6903176128766759,0.6335403726708074,0.6703910614525139,0.6313271604938271,0.013749367192158106,2.625342307120706e-06,0.1111111111111111,3,24,1.0,add_layer,committed,1,0
11,0.6922541881934632,0.6922457713560451,0.546583850931677,0.5100671140939598,0.5412037037037037,0.013796048397336806,2.643485434071915e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
12,0.6914552163924463,0.6918056330097142,0.5652173913043478,0.65,0.5645061728395062,0.013831273437095561,2.656697936428673e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
13,0.690650264590444,0.6913735564245785,0.5962732919254659,0.632768361581921,0.5839506172839506,0.013889196181429185,2.6779841113909346e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
14,0.6898401056324774,0.6909451223795038,0.6149068322981367,0.6666666666666666,0.6029320987654321,0.013943982277794385,2.697435334091332e-06,0.125,3,24,1.0,keep,none,1,0
15,0.6966113155772503,0.6905208358579802,0.6459627329192547,0.6779661016949152,0.620679012345679,0.027559006975572408,7.911026244169526e-06,0.08333333333333333,4,32,1.0,add_layer,committed,2,0
16,0.6945734496682753,0.6913526077049049,0.5962732919254659,0.6153846153846154,0.5905864197530863,0.027083776808429192,7.640941229326375e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
17,0.6925895528228168,0.6900756951521202,0.6273291925465838,0.6938775510204082,0.644753086419753,0.026272178476746434,7.189183024670722e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
18,0.6906855187243276,0.6888483356173679,0.6583850931677019,0.717948717948718,0.6847222222222221,0.025239501318321294,6.633442906571924e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
19,0.6888888642430029,0.6876979572321145,0.6832298136645962,0.7357512953367875,0.711574074074074,0.024051207464459268,6.021317692967439e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
20,0.6918440398745712,0.6866413457104632,0.7018633540372671,0.7446808510638298,0.726388888888889,0.02583835852589492,5.561346399341766e-06,0.06666666666666667,5,40,1.0,add_layer,committed,3,0
21,0.6897551669503196,0.68988914222806,0.6086956521739131,0.47058823529411764,0.608179012345679,0.0257740870281936,5.534996605228613e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
22,0.687714842656926,0.6884431120903004,0.639751552795031,0.5538461538461539,0.6473765432098765,0.0254602287919289,5.401635290282118e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
23,0.6857590645961139,0.6870506947395489,0.6708074534161491,0.624113475177305,0.6802469135802469,0.024867065586689243,5.153088941982325e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
24,0.6839092118884261,0.6857314371423486,0.6832298136645962,0.6530612244897959,0.7050925925925926,0.024069414962253774,4.82769948716035e-06,0.06666666666666667,5,40,1.0,keep,none,3,0
25,0.6901017822453192,0.6844956318527062,0.6832298136645962,0.6482758620689655,0.7203703703703704,0.028566099483287585,5.661613923896713e-06,0.05555555555555555,6,48,1.0,add_layer,committed,4,0
26,0.6876098137257867,0.6877179521952207,0.6459627329192547,0.6225165562913907,0.6603395061728394,0.02815275660257051,5.50014339574179e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
27,0.6852130320735702,0.6860027278348212,0.6770186335403726,0.6578947368421053,0.6958333333333334,0.027471521426206184,5.237627367620974e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
28,0.6829109696394445,0.6843958798292201,0.6894409937888198,0.6666666666666666,0.7151234567901235,0.026568665745032843,4.898976001304824e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
29,0.6807260447630393,0.6828919209880214,0.7018633540372671,0.6883116883116883,0.7302469135802467,0.025452878009507334,4.495954246698926e-06,0.0625,6,48,1.0,keep,none,4,0
30,0.6786911167404173,0.6815017692396161,0.7142857142857143,0.7051282051282052,0.7367283950617284,0.024166234986169793,4.052766045081307e-06,0.05555555555555555,6,48,1.0,stop_growth,none,4,0
31,0.676827595114778,0.6802356352263472,0.7142857142857143,0.7012987012987013,0.7456790123456791,0.022778416715078992,3.600635706518477e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
32,0.6751429946611527,0.6791003352265397,0.7142857142857143,0.7012987012987013,0.7507716049382716,0.02137486555590564,3.170648180013044e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
33,0.6736346634040864,0.6780998279749828,0.7142857142857143,0.7088607594936709,0.7554012345679012,0.020046249235782115,2.788811499075019e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
34,0.6722901704146216,0.6772309322076449,0.7018633540372671,0.6923076923076923,0.7546296296296297,0.01888078151659018,2.4740258394888144e-06,0.0625,6,48,1.0,keep,none,4,0
35,0.6710863037394653,0.6764813198464644,0.7080745341614907,0.6967741935483871,0.7570987654320989,0.017944442070979456,2.2348141900671174e-06,0.05555555555555555,6,48,1.0,stop_growth,none,4,0
36,0.669991590790582,0.6758302183151041,0.7080745341614907,0.7006369426751592,0.7555555555555555,0.01725179279970319,2.0657518586073297e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
37,0.668975292871269,0.6752541891602558,0.7018633540372671,0.6962025316455697,0.7549382716049382,0.016759636587514233,1.949727488323545e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
38,0.6680148268578955,0.6747330835029023,0.7080745341614907,0.6967741935483871,0.754320987654321,0.016397170361646486,1.8664482540685524e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
39,0.6670961439604478,0.6742516090982762,0.7080745341614907,0.6967741935483871,0.7533950617283951,0.016098305284115873,1.799138721319514e-06,0.05555555555555555,6,48,1.0,keep,none,4,0
