episode,return,return_ma100
1,-0.22746269217421144,-0.22746269217421144
2,-0.27008868141353043,-0.24877568679387094
3,-0.21611059056828624,-0.23788732138534271
4,-0.23124672604285318,-0.2362271725497203
5,-0.2236786583055697,-0.23371746970089022
6,-2.906951203965252,-0.6792564254116172
7,-1.3657783216504882,-0.7773309820171702
8,-2.941914904642329,-1.0479039723453152
9,-0.25555459929226565,-0.9598651531171983
10,-2.2085425228310034,-1.084732890088579
11,-0.2442024976863405,-1.00832103623383
12,-6.66204492106411,-1.4794646933030198
13,-1.2274626921742118,-1.4600799239854194
14,-0.27008868141353043,-1.3750805495159988
15,-0.23124672604285318,-1.2988249612844558
16,-1.2517705654236242,-1.2958840615431537
17,-0.22746269217421144,-1.2330357456979217
18,-0.19719042122507763,-1.175488783227208
19,-0.2236786583055697,-1.1253935134944903
20,-7.337835619372166,-1.4360156187883741
21,-5.897005378253296,-1.6484437025724181
22,-2.270088681413531,-1.6767002925197416
23,-8.443762845597378,-1.970920403523117
24,-4.217528566131336,-2.064529076965126
25,-7.018039697738838,-2.2626695017960743
26,-0.27008868141353043,-2.1860317779352076
27,-0.21611059056828624,-2.113071733958655
28,-0.42645811958049834,-2.0528355334451494
29,-6.39806597252312,-2.2026710658271482
30,-0.5043698799039816,-2.1460610262963757
31,-2.1897391131720667,-2.147469996840753
32,-2.958074168347156,-2.172801377200328
33,-4.805977703279813,-2.252594599202737
34,-2.743875571721312,-2.26704403957093
35,-0.22746269217421144,-2.208770286788167
36,-3.682374451277595,-2.249703735801762
37,-0.24798653155498224,-2.1956032708221196
38,-2.9519100137979706,-2.2155060798478
39,-4.643692749644629,-2.2777672765092567
40,-5.317889071879571,-2.3537703213935144
41,-3.5435045211133467,-2.3827882287037543
42,-4.631983947759315,-2.436340507728887
43,-0.41054821700380095,-2.389229059107373
44,-1.957051040116897,-2.379406831403044
45,-7.146568067940516,-2.4853437477705436
46,-2.1266660741733863,-2.4775464070401707
47,-0.3369488446359945,-2.432001778052848
48,-0.22746269217421144,-2.3860738804303763
49,-7.362035846357918,-2.487624124632979
50,-1.248996330236536,-2.4628515687450503
51,-1.326272495649639,-2.440565704566709
